timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz]
2026/07/04 00:49:03.946, 0 %, 0 %, 11 MiB, 26.83 W, 210 MHz, 405 MHz
2026/07/04 00:49:04.048, 0 %, 0 %, 11 MiB, 26.83 W, 210 MHz, 405 MHz
2026/07/04 00:49:04.149, 0 %, 0 %, 11 MiB, 26.83 W, 210 MHz, 405 MHz
2026/07/04 00:49:04.251, 0 %, 0 %, 11 MiB, 26.83 W, 210 MHz, 405 MHz
2026/07/04 00:49:04.352, 0 %, 0 %, 11 MiB, 26.83 W, 210 MHz, 405 MHz
2026/07/04 00:49:04.453, 0 %, 0 %, 11 MiB, 26.83 W, 210 MHz, 405 MHz
2026/07/04 00:49:04.555, 0 %, 0 %, 11 MiB, 26.83 W, 210 MHz, 405 MHz
2026/07/04 00:49:04.656, 0 %, 0 %, 11 MiB, 26.83 W, 210 MHz, 405 MHz
2026/07/04 00:49:04.758, 0 %, 0 %, 11 MiB, 26.83 W, 210 MHz, 405 MHz
2026/07/04 00:49:04.859, 0 %, 0 %, 11 MiB, 26.83 W, 210 MHz, 405 MHz
2026/07/04 00:49:04.961, 0 %, 0 %, 11 MiB, 26.90 W, 210 MHz, 405 MHz
2026/07/04 00:49:05.062, 0 %, 0 %, 11 MiB, 26.90 W, 210 MHz, 405 MHz
2026/07/04 00:49:05.164, 0 %, 0 %, 11 MiB, 26.90 W, 210 MHz, 405 MHz
2026/07/04 00:49:05.266, 0 %, 0 %, 11 MiB, 26.90 W, 210 MHz, 405 MHz
2026/07/04 00:49:05.367, 0 %, 0 %, 11 MiB, 26.90 W, 210 MHz, 405 MHz
2026/07/04 00:49:05.469, 0 %, 0 %, 11 MiB, 26.90 W, 210 MHz, 405 MHz
2026/07/04 00:49:05.570, 0 %, 0 %, 11 MiB, 26.90 W, 210 MHz, 405 MHz
2026/07/04 00:49:05.672, 0 %, 0 %, 11 MiB, 26.90 W, 210 MHz, 405 MHz
2026/07/04 00:49:05.776, 0 %, 0 %, 11 MiB, 26.90 W, 210 MHz, 405 MHz
2026/07/04 00:49:05.877, 0 %, 0 %, 11 MiB, 26.90 W, 210 MHz, 405 MHz
2026/07/04 00:49:05.979, 0 %, 0 %, 11 MiB, 26.86 W, 210 MHz, 405 MHz
2026/07/04 00:49:06.081, 0 %, 0 %, 11 MiB, 26.86 W, 210 MHz, 405 MHz
2026/07/04 00:49:06.182, 0 %, 0 %, 11 MiB, 26.84 W, 210 MHz, 405 MHz
2026/07/04 00:49:06.284, 0 %, 0 %, 11 MiB, 26.85 W, 210 MHz, 405 MHz
2026/07/04 00:49:06.385, 0 %, 0 %, 11 MiB, 26.84 W, 210 MHz, 405 MHz
2026/07/04 00:49:06.487, 0 %, 0 %, 11 MiB, 26.84 W, 210 MHz, 405 MHz
2026/07/04 00:49:06.588, 0 %, 0 %, 11 MiB, 26.84 W, 210 MHz, 405 MHz
2026/07/04 00:49:06.690, 0 %, 0 %, 11 MiB, 26.84 W, 210 MHz, 405 MHz
2026/07/04 00:49:06.792, 0 %, 0 %, 11 MiB, 26.84 W, 210 MHz, 405 MHz
2026/07/04 00:49:06.893, 0 %, 0 %, 11 MiB, 26.84 W, 210 MHz, 405 MHz
2026/07/04 00:49:06.995, 0 %, 0 %, 11 MiB, 26.84 W, 210 MHz, 405 MHz
2026/07/04 00:49:07.096, 0 %, 0 %, 11 MiB, 26.81 W, 210 MHz, 405 MHz
2026/07/04 00:49:07.198, 0 %, 0 %, 11 MiB, 26.81 W, 210 MHz, 405 MHz
2026/07/04 00:49:07.300, 0 %, 0 %, 11 MiB, 26.81 W, 210 MHz, 405 MHz
2026/07/04 00:49:07.401, 0 %, 0 %, 11 MiB, 26.81 W, 210 MHz, 405 MHz
2026/07/04 00:49:07.503, 0 %, 0 %, 11 MiB, 26.81 W, 210 MHz, 405 MHz
2026/07/04 00:49:07.604, 0 %, 0 %, 11 MiB, 26.81 W, 210 MHz, 405 MHz
2026/07/04 00:49:07.706, 0 %, 0 %, 11 MiB, 26.81 W, 210 MHz, 405 MHz
2026/07/04 00:49:07.808, 0 %, 0 %, 11 MiB, 26.81 W, 210 MHz, 405 MHz
2026/07/04 00:49:07.909, 0 %, 0 %, 11 MiB, 26.81 W, 210 MHz, 405 MHz
2026/07/04 00:49:08.011, 0 %, 0 %, 11 MiB, 26.81 W, 210 MHz, 405 MHz
2026/07/04 00:49:08.112, 0 %, 0 %, 11 MiB, 26.79 W, 210 MHz, 405 MHz
2026/07/04 00:49:08.214, 0 %, 0 %, 11 MiB, 26.79 W, 210 MHz, 405 MHz
2026/07/04 00:49:08.316, 0 %, 0 %, 11 MiB, 26.79 W, 210 MHz, 405 MHz
2026/07/04 00:49:08.417, 0 %, 0 %, 11 MiB, 26.79 W, 210 MHz, 405 MHz
2026/07/04 00:49:08.519, 0 %, 0 %, 11 MiB, 26.79 W, 210 MHz, 405 MHz
2026/07/04 00:49:08.621, 0 %, 0 %, 11 MiB, 26.79 W, 210 MHz, 405 MHz
2026/07/04 00:49:08.722, 0 %, 0 %, 11 MiB, 26.79 W, 210 MHz, 405 MHz
2026/07/04 00:49:08.824, 0 %, 0 %, 11 MiB, 26.79 W, 210 MHz, 405 MHz
2026/07/04 00:49:08.925, 0 %, 0 %, 11 MiB, 26.79 W, 210 MHz, 405 MHz
2026/07/04 00:49:09.027, 0 %, 0 %, 11 MiB, 26.84 W, 210 MHz, 405 MHz
2026/07/04 00:49:09.128, 0 %, 0 %, 11 MiB, 26.84 W, 210 MHz, 405 MHz
2026/07/04 00:49:09.230, 0 %, 0 %, 11 MiB, 26.84 W, 210 MHz, 405 MHz
2026/07/04 00:49:09.332, 0 %, 0 %, 11 MiB, 26.84 W, 210 MHz, 405 MHz
2026/07/04 00:49:09.433, 0 %, 0 %, 11 MiB, 26.84 W, 210 MHz, 405 MHz
2026/07/04 00:49:09.535, 0 %, 0 %, 11 MiB, 26.84 W, 210 MHz, 405 MHz
2026/07/04 00:49:09.636, 0 %, 0 %, 11 MiB, 26.84 W, 210 MHz, 405 MHz
2026/07/04 00:49:09.738, 0 %, 0 %, 11 MiB, 26.84 W, 210 MHz, 405 MHz
2026/07/04 00:49:09.840, 0 %, 0 %, 11 MiB, 26.84 W, 210 MHz, 405 MHz
2026/07/04 00:49:09.941, 0 %, 0 %, 11 MiB, 26.84 W, 210 MHz, 405 MHz
2026/07/04 00:49:10.043, 0 %, 0 %, 11 MiB, 26.90 W, 210 MHz, 405 MHz
2026/07/04 00:49:10.144, 0 %, 0 %, 11 MiB, 26.90 W, 210 MHz, 405 MHz
2026/07/04 00:49:10.246, 0 %, 0 %, 11 MiB, 26.90 W, 210 MHz, 405 MHz
2026/07/04 00:49:10.347, 0 %, 0 %, 11 MiB, 26.90 W, 210 MHz, 405 MHz
2026/07/04 00:49:10.449, 0 %, 0 %, 11 MiB, 26.90 W, 210 MHz, 405 MHz
2026/07/04 00:49:10.550, 0 %, 0 %, 11 MiB, 26.90 W, 210 MHz, 405 MHz
2026/07/04 00:49:10.652, 0 %, 0 %, 11 MiB, 26.90 W, 210 MHz, 405 MHz
2026/07/04 00:49:10.754, 0 %, 0 %, 11 MiB, 26.90 W, 210 MHz, 405 MHz
2026/07/04 00:49:10.855, 0 %, 0 %, 11 MiB, 26.90 W, 210 MHz, 405 MHz
2026/07/04 00:49:10.957, 0 %, 0 %, 11 MiB, 26.90 W, 210 MHz, 405 MHz
2026/07/04 00:49:11.058, 0 %, 0 %, 11 MiB, 26.96 W, 210 MHz, 405 MHz
2026/07/04 00:49:11.160, 0 %, 0 %, 11 MiB, 26.96 W, 210 MHz, 405 MHz
2026/07/04 00:49:11.262, 0 %, 0 %, 11 MiB, 26.96 W, 210 MHz, 405 MHz
2026/07/04 00:49:11.363, 0 %, 0 %, 11 MiB, 26.96 W, 210 MHz, 405 MHz
2026/07/04 00:49:11.465, 0 %, 0 %, 11 MiB, 26.96 W, 210 MHz, 405 MHz
2026/07/04 00:49:11.566, 0 %, 0 %, 11 MiB, 26.96 W, 210 MHz, 405 MHz
2026/07/04 00:49:11.668, 0 %, 0 %, 11 MiB, 26.96 W, 210 MHz, 405 MHz
2026/07/04 00:49:11.770, 0 %, 0 %, 11 MiB, 26.96 W, 210 MHz, 405 MHz
2026/07/04 00:49:11.871, 0 %, 0 %, 11 MiB, 26.96 W, 210 MHz, 405 MHz
2026/07/04 00:49:11.973, 0 %, 0 %, 11 MiB, 26.96 W, 210 MHz, 405 MHz
2026/07/04 00:49:12.075, 0 %, 0 %, 11 MiB, 26.93 W, 210 MHz, 405 MHz
2026/07/04 00:49:12.176, 0 %, 0 %, 11 MiB, 26.93 W, 210 MHz, 405 MHz
2026/07/04 00:49:12.278, 0 %, 0 %, 11 MiB, 26.93 W, 210 MHz, 405 MHz
2026/07/04 00:49:12.379, 0 %, 0 %, 11 MiB, 26.93 W, 210 MHz, 405 MHz
2026/07/04 00:49:12.481, 0 %, 0 %, 11 MiB, 26.93 W, 210 MHz, 405 MHz
2026/07/04 00:49:12.582, 0 %, 0 %, 11 MiB, 26.93 W, 210 MHz, 405 MHz
2026/07/04 00:49:12.684, 0 %, 0 %, 11 MiB, 26.93 W, 210 MHz, 405 MHz
2026/07/04 00:49:12.786, 0 %, 0 %, 11 MiB, 26.93 W, 210 MHz, 405 MHz
2026/07/04 00:49:12.887, 0 %, 0 %, 11 MiB, 26.93 W, 210 MHz, 405 MHz
2026/07/04 00:49:12.989, 0 %, 0 %, 11 MiB, 26.93 W, 210 MHz, 405 MHz
2026/07/04 00:49:13.090, 0 %, 0 %, 11 MiB, 26.91 W, 210 MHz, 405 MHz
2026/07/04 00:49:13.192, 0 %, 0 %, 11 MiB, 26.91 W, 210 MHz, 405 MHz
2026/07/04 00:49:13.294, 0 %, 0 %, 11 MiB, 26.94 W, 210 MHz, 405 MHz
2026/07/04 00:49:13.395, 0 %, 0 %, 11 MiB, 26.94 W, 210 MHz, 405 MHz
2026/07/04 00:49:13.497, 0 %, 0 %, 11 MiB, 26.93 W, 210 MHz, 405 MHz
2026/07/04 00:49:13.598, 0 %, 0 %, 25 MiB, 26.94 W, 210 MHz, 405 MHz
2026/07/04 00:49:13.700, 0 %, 0 %, 25858 MiB, 26.96 W, 1800 MHz, 7600 MHz
2026/07/04 00:49:13.802, 2 %, 0 %, 48034 MiB, 29.74 W, 1800 MHz, 7600 MHz
2026/07/04 00:49:13.904, 2 %, 0 %, 48034 MiB, 32.44 W, 1800 MHz, 7600 MHz
2026/07/04 00:49:14.005, 1 %, 0 %, 48034 MiB, 34.56 W, 1800 MHz, 7600 MHz
2026/07/04 00:49:14.107, 1 %, 0 %, 48034 MiB, 36.48 W, 1800 MHz, 7600 MHz
2026/07/04 00:49:14.208, 0 %, 0 %, 48034 MiB, 48.46 W, 1800 MHz, 7600 MHz
2026/07/04 00:49:14.310, 0 %, 0 %, 48034 MiB, 50.50 W, 1800 MHz, 7600 MHz
2026/07/04 00:49:14.411, 0 %, 0 %, 48034 MiB, 58.72 W, 1800 MHz, 7600 MHz
2026/07/04 00:49:14.513, 0 %, 0 %, 48034 MiB, 61.07 W, 1800 MHz, 7600 MHz
2026/07/04 00:49:14.614, 0 %, 0 %, 48034 MiB, 69.45 W, 1800 MHz, 7600 MHz
2026/07/04 00:49:14.716, 0 %, 0 %, 48034 MiB, 73.63 W, 1800 MHz, 7600 MHz
2026/07/04 00:49:14.823, 0 %, 0 %, 48034 MiB, 73.63 W, 1800 MHz, 7600 MHz
2026/07/04 00:49:14.925, 0 %, 0 %, 48034 MiB, 73.63 W, 1800 MHz, 7600 MHz
2026/07/04 00:49:15.026, 0 %, 0 %, 48034 MiB, 73.63 W, 1800 MHz, 7600 MHz
2026/07/04 00:49:15.128, 0 %, 0 %, 48034 MiB, 73.63 W, 1800 MHz, 7600 MHz
2026/07/04 00:49:15.229, 0 %, 0 %, 48034 MiB, 73.63 W, 1800 MHz, 7600 MHz
2026/07/04 00:49:15.331, 0 %, 0 %, 48034 MiB, 73.63 W, 1800 MHz, 7600 MHz
2026/07/04 00:49:15.432, 0 %, 0 %, 48034 MiB, 73.63 W, 1800 MHz, 7600 MHz
2026/07/04 00:49:15.533, 0 %, 0 %, 48034 MiB, 73.63 W, 1800 MHz, 7600 MHz
2026/07/04 00:49:15.634, 0 %, 0 %, 48034 MiB, 73.63 W, 1800 MHz, 7600 MHz
