dataset,block,window_id,start_month,end_month,phase,treatment,max_partition_mib,listed_file_bytes,elapsed_ms,decoded_bytes,decoded_rows,max_batch_bytes,max_batch_rows,output_batches,planned_scan_tasks,gpu_scan_in_plan,result_sha256,plan_sha256,enabled_reason,history_count,predicted_decoded_bytes,predicted_decoded_rows,estimated_decoded_bytes_per_listed_byte,estimated_decoded_rows_per_listed_byte
yellow,0,yellow-2009-01,2009-01,2009-12,warmup,enabled,128,5717475607,4277.8368,4165592808,170896055,4165592808,170896055,12,46,True,35c3e33533d4e78a714f0c396444cccf6e7860f3cda8b40765e922465262d55c,ff93d978c7920db493ddf47556aeada4855e36696552e356d37ae048cc3525ec,cold-start-fallback,0,,,,
yellow,0,yellow-2009-01,2009-01,2009-12,warmup,fixed-128,128,5717475607,2399.638961,4165592808,170896055,4165592808,170896055,12,46,True,35c3e33533d4e78a714f0c396444cccf6e7860f3cda8b40765e922465262d55c,daf2d5fc4d7fbefed2c61c2d5ebc5d27742a711accbc1eb2c2a5e08ba6a15e10,,,,,,
yellow,0,yellow-2009-01,2009-01,2009-12,warmup,fixed-1024,1024,5717475607,1252.073628,4165591848,170896055,4165591848,170896055,6,6,True,35c3e33533d4e78a714f0c396444cccf6e7860f3cda8b40765e922465262d55c,1309e0d7dd95a96ef0b18bddacc73b741424531a25202a7ea32108214c86243c,,,,,,
yellow,0,yellow-2009-01,2009-01,2009-12,measured,enabled,128,5717475607,2448.420373,4165592808,170896055,4165592808,170896055,12,46,True,35c3e33533d4e78a714f0c396444cccf6e7860f3cda8b40765e922465262d55c,2e6c4c7eba93d096e50a1dfc1832b90debd3fd6cfe6309dfc6b8e3d4f0b83175,cold-start-fallback,0,,,,
yellow,0,yellow-2009-01,2009-01,2009-12,measured,fixed-128,128,5717475607,2216.926165,4165592808,170896055,4165592808,170896055,12,46,True,35c3e33533d4e78a714f0c396444cccf6e7860f3cda8b40765e922465262d55c,9f8455018cb763e36fd44a9e2bd34d984100a7d87b9d0f34273ba60b635a827e,,,,,,
yellow,0,yellow-2009-01,2009-01,2009-12,measured,fixed-1024,1024,5717475607,1082.148334,4165591848,170896055,4165591848,170896055,6,6,True,35c3e33533d4e78a714f0c396444cccf6e7860f3cda8b40765e922465262d55c,eb9e487f06e76693f0ea6d4d6b98744258efdb071d074fa230a737dde1b5176c,,,,,,
yellow,1,yellow-2009-02,2009-02,2010-01,measured,fixed-128,128,5763118565,2426.535728,4184394720,171667420,4184394720,171667420,12,46,True,f05b37757ae8587e8b6a9c086b173d9f85de080da6d7709bf0a32325ea16db04,6735b93353bea7437050194bdb76461a2fc0c768cc3470793abee07119e69952,,,,,,
yellow,1,yellow-2009-02,2009-02,2010-01,measured,fixed-1024,1024,5763118565,1385.471572,4184393952,171667420,3822089328,156803642,7,6,True,f05b37757ae8587e8b6a9c086b173d9f85de080da6d7709bf0a32325ea16db04,7a9d82093ed8518b59b96ce46b95b3d6c1a55a0119ab5029dd841497477e14d1,,,,,,
yellow,1,yellow-2009-02,2009-02,2010-01,measured,enabled,1024,5763118565,1385.774228,4184393952,171667420,3822089328,156803642,7,6,True,f05b37757ae8587e8b6a9c086b173d9f85de080da6d7709bf0a32325ea16db04,927c52f46482b19869bdfb2e7b619ba355f92aa1b7478e1d34b7d7ed2d2865b7,prior-enabled-data-shape,1,4198846991,172260329,0.7285720297433357,0.02989012402445043
yellow,2,yellow-2009-03,2009-03,2010-02,measured,enabled,1024,5678404137,1339.138047,4129922952,169432707,3495948864,143423520,8,6,True,4400903f4a3cff730fd8b5231d874dadbd3d9879a0645204c6bcb360382a9205,494589a29401e024c21c2bcfff3ebbc4a2439d38c431c73b0b066d2b6d9be16f,prior-enabled-data-shape,2,4122885840,169144011,0.7260641794552426,0.02978724419146147
yellow,2,yellow-2009-03,2009-03,2010-02,measured,fixed-1024,1024,5678404137,1264.168717,4129922952,169432707,3495948864,143423520,8,6,True,4400903f4a3cff730fd8b5231d874dadbd3d9879a0645204c6bcb360382a9205,531edb0e387d2be44c3b4e6ba8f70feafcbcb51b2a17db9792563fa8061bd230,,,,,,
yellow,2,yellow-2009-03,2009-03,2010-02,measured,fixed-128,128,5678404137,2413.039788,4129923528,169432707,4129923528,169432707,12,46,True,4400903f4a3cff730fd8b5231d874dadbd3d9879a0645204c6bcb360382a9205,592dbfcc4d94574861dd63f936cc7e89dc7f312d5a97be9ea304dcae76d812c3,,,,,,
yellow,3,yellow-2009-04,2009-04,2010-03,measured,enabled,1024,5604528002,1408.822328,4093287024,167929698,3730982400,153065920,7,6,True,3873bd785b13883a18af030bb65aefe44d4282d5bc1e089a3e8fc353241b4d70,31872884d27a1254050e30016a6c236adfec14fbe3c688abe5397fa05509fe59,prior-enabled-data-shape,3,4076192584,167228385,0.727303455752607,0.029838085298647704
yellow,3,yellow-2009-04,2009-04,2010-03,measured,fixed-128,128,5604528002,2361.588161,4093287600,167929698,4093287600,167929698,12,45,True,3873bd785b13883a18af030bb65aefe44d4282d5bc1e089a3e8fc353241b4d70,8f8daef4706e864a600d0188d9ecdc6247fb85f81767af80a016122694234dee,,,,,,
yellow,3,yellow-2009-04,2009-04,2010-03,measured,fixed-1024,1024,5604528002,1383.276056,4093287024,167929698,3730982400,153065920,7,6,True,3873bd785b13883a18af030bb65aefe44d4282d5bc1e089a3e8fc353241b4d70,b4235dcebb818429c81ef3f1c89ef7fc43e48518e73a5d74df0823b9532814c7,,,,,,
yellow,4,yellow-2009-05,2009-05,2010-04,measured,enabled,1024,5654697509,1491.13872,4114010904,168779905,3384191280,138838602,8,6,True,8227385972d309698f1d229fb7d2c6ebc3381f93443910281b0dee006c735ef4,2547722ffae63170b8e97aedb2751acf56d0cba7c1faf7c8a2f3d1baee87c049,prior-enabled-data-shape,4,4119854442,169019610,0.7285720297433357,0.02989012402445043
yellow,4,yellow-2009-05,2009-05,2010-04,measured,fixed-1024,1024,5654697509,1567.587205,4114010904,168779905,3384191280,138838602,8,6,True,8227385972d309698f1d229fb7d2c6ebc3381f93443910281b0dee006c735ef4,1bc1279e8ecbef6a7788fc10f90db3e01160904b82574c355d2595daac4fb4c7,,,,,,
