query,table,split_MiB
query1,date_dim,64
query1,store,64
query1,customer,64
query2,catalog_sales,646
query2,web_sales,347
query2,date_dim,64
query3,store_sales,140
query3,date_dim,64
query3,item,64
query4,store_sales,178
query4,catalog_sales,128
query4,web_sales,128
query4,date_dim,64
query4,customer,64
query5,web_sales,347
query5,store_sales,84
query5,store_returns,75
query5,web_returns,75
query5,date_dim,64
query5,store,64
query5,catalog_page,64
query5,web_site,64
query5,catalog_sales,64
query5,catalog_returns,64
query6,store_sales,128
query6,customer_address,64
query6,date_dim,64
query6,item,64
query6,customer,64
query7,store_sales,177
query7,promotion,64
query7,date_dim,64
query7,item,64
query7,customer_demographics,64
query8,store_sales,128
query8,store,64
query8,date_dim,64
query8,customer_address,64
query8,customer,64
query9,store_sales,923
query9,reason,64
query10,store_sales,128
query10,web_sales,128
query10,customer,64
query10,date_dim,64
query10,customer_address,64
query10,customer_demographics,64
query10,catalog_sales,64
query11,store_sales,178
query11,web_sales,128
query11,date_dim,64
query11,customer,64
query12,web_sales,128
query12,date_dim,64
query12,item,64
query13,store_sales,177
query13,store,64
query13,customer_address,64
query13,date_dim,64
query13,customer_demographics,64
query13,household_demographics,64
query14,store_sales,534
query14,catalog_sales,386
query14,web_sales,208
query14,item,64
query14,date_dim,64
query15,customer,64
query15,customer_address,64
query15,date_dim,64
query15,catalog_sales,64
query16,catalog_sales,649
query16,catalog_returns,128
query16,call_center,64
query16,date_dim,64
query16,customer_address,64
query17,store_sales,128
query17,store_returns,128
query17,catalog_sales,128
query17,date_dim,64
query17,store,64
query17,item,64
query18,catalog_sales,128
query18,customer_demographics,64
query18,customer,64
query18,customer_address,64
query18,date_dim,64
query18,item,64
query19,store_sales,128
query19,date_dim,64
query19,item,64
query19,customer,64
query19,customer_address,64
query19,store,64
query20,date_dim,64
query20,item,64
query20,catalog_sales,64
query21,warehouse,64
query21,date_dim,64
query21,item,64
query21,inventory,64
query22,date_dim,64
query22,item,64
query22,inventory,64
query23,store_sales,923
query23,web_sales,128
query23,catalog_sales,64
query23,date_dim,64
query23,item,64
query23,customer,64
query24,store_sales,923
query24,store_returns,129
query24,store,64
query24,item,64
query24,customer,64
query24,customer_address,64
query25,store_sales,128
query25,store_returns,128
query25,catalog_sales,121
query25,date_dim,64
query25,store,64
query25,item,64
query26,catalog_sales,128
query26,promotion,64
query26,date_dim,64
query26,item,64
query26,customer_demographics,64
query27,store_sales,178
query27,store,64
query27,date_dim,64
query27,item,64
query27,customer_demographics,64
query28,store_sales,923
query29,catalog_sales,386
query29,store_sales,128
query29,store_returns,128
query29,date_dim,64
query29,store,64
query29,item,64
query30,web_returns,128
query30,date_dim,64
query30,customer_address,64
query30,customer,64
query31,store_sales,128
query31,web_sales,128
query31,date_dim,64
query31,customer_address,64
query32,item,64
query32,date_dim,64
query32,catalog_sales,64
query33,store_sales,128
query33,web_sales,128
query33,date_dim,64
query33,item,64
query33,customer_address,64
query33,catalog_sales,64
query34,store,64
query34,household_demographics,64
query34,date_dim,64
query34,customer,64
query35,store_sales,128
query35,web_sales,128
query35,catalog_sales,128
query35,customer,64
query35,date_dim,64
query35,customer_address,64
query35,customer_demographics,64
query36,store_sales,178
query36,store,64
query36,date_dim,64
query36,item,64
query37,catalog_sales,649
query37,date_dim,64
query37,item,64
query37,inventory,64
query38,store_sales,178
query38,catalog_sales,128
query38,web_sales,128
query38,date_dim,64
query38,customer,64
query39,date_dim,64
query39,item,64
query39,warehouse,64
query39,inventory,64
query40,catalog_returns,128
query40,catalog_sales,64
query40,warehouse,64
query40,item,64
query40,date_dim,64
query41,item,64
query42,store_sales,128
query42,date_dim,64
query42,item,64
query43,store_sales,179
query43,store,64
query43,date_dim,64
query44,store_sales,923
query44,item,64
query45,web_sales,128
query45,customer,64
query45,customer_address,64
query45,date_dim,64
query45,item,64
query46,store_sales,153
query46,store,64
query46,household_demographics,64
query46,date_dim,64
query46,customer_address,64
query46,customer,64
query47,store_sales,217
query47,date_dim,64
query47,item,64
query47,store,64
query48,store_sales,178
query48,store,64
query48,customer_demographics,64
query48,customer_address,64
query48,date_dim,64
query49,store_returns,129
query49,web_sales,128
query49,web_returns,128
query49,catalog_returns,128
query49,store_sales,128
query49,date_dim,64
query49,catalog_sales,64
query50,store_sales,891
query50,store_returns,128
query50,store,64
query50,date_dim,64
query51,store_sales,178
query51,web_sales,128
query51,date_dim,64
query52,store_sales,128
query52,date_dim,64
query52,item,64
query53,store_sales,177
query53,store,64
query53,date_dim,64
query53,item,64
query54,store_sales,128
query54,web_sales,128
query54,item,64
query54,date_dim,64
query54,customer,64
query54,customer_address,64
query54,store,64
query54,catalog_sales,64
query55,store_sales,128
query55,date_dim,64
query55,item,64
query56,store_sales,128
