query,off_scan_tasks,batch4g_scan_tasks,off_split_MiB,batch4g_split_MiB
query28,1232,71,128,2272
query88,1232,40,128,4096
query95,1348,45,128,4096
query59,1227,48,128,3378
query75,1348,43,128,4096
query2,1302,42,128,4096
query76,2529,90,128,4096
query78,1348,50,128,4096
query9,1232,96,128,1678
query94,1348,43,128,4096
query62,1162,37,128,4096
query64,1253,40,128,4096
query4,245,15,128,4096
query93,1253,48,128,4096
query80,1348,52,128,4096
query49,1348,52,128,4096
query85,1348,43,128,4096
query50,1227,40,128,4096
query90,1162,60,128,2535
query67,245,8,128,4096
query11,245,8,128,4096
query66,232,12,128,4096
query74,245,19,128,4096
query96,1232,48,128,3398
query72,229,10,128,4096
query5,1162,45,128,4096
query51,245,8,128,4096
query82,1232,40,128,4096
query30,229,8,128,4096
query84,1253,40,128,4096
query70,245,8,128,4096
query65,245,10,128,3425
query13,245,22,128,1509
query87,245,8,128,4096
query38,246,19,128,4096
query47,288,22,128,1748
query7,245,8,128,4096
query31,63,3,128,3364
query16,229,8,128,4096
query48,245,10,128,3332
query27,245,8,128,4096
query89,245,8,128,4096
query86,232,12,128,2535
query43,247,22,128,1515
query35,180,6,128,4096
query36,245,31,128,1043
query46,212,8,128,3484
query17,168,6,128,4096
query63,245,8,128,4096
query29,84,4,128,3154
query53,245,10,128,3484
query44,5,1,128,1953
query25,134,5,128,4096
query97,245,12,128,4096
query18,28,2,128,2101
query99,141,10,128,1890
query81,46,2,128,4096
query10,79,7,128,4096
query69,58,3,128,4096
query77,22,1,128,4096
query79,106,5,128,3400
query22,18,2,128,333
query40,229,8,128,4096
query71,60,3,128,4096
query60,22,1,128,4096
query54,63,4,128,4096
query8,59,2,128,4096
query58,16,1,128,4096
query92,57,2,128,4096
query45,57,2,128,4096
query61,23,2,128,2260
query33,20,1,128,4096
query56,20,1,128,4096
query57,34,2,128,4096
query98,20,1,128,4096
query73,47,2,128,3378
query83,16,1,128,4096
query91,20,1,128,4096
query3,111,5,128,3393
query6,20,1,128,3399
query19,23,2,128,1687
query26,28,1,128,4096
query37,141,5,128,4096
query12,20,1,128,4096
query20,16,1,128,4096
query21,14,1,128,266
query32,15,1,128,2689
query15,20,1,128,4096
query55,23,1,128,4096
query42,23,1,128,4096
query52,23,1,128,4096
query1,20,1,128,0
query68,20,1,128,0
query41,5,1,128,0
query34,20,1,128,0
