query,fact_table,split_MiB
query2,catalog_sales,646
query2,web_sales,347
query3,store_sales,140
query4,catalog_sales,128
query4,store_sales,178
query4,web_sales,128
query5,catalog_returns,64
query5,catalog_sales,64
query5,store_returns,75
query5,store_sales,84
query5,web_returns,75
query5,web_sales,347
query6,store_sales,128
query7,store_sales,177
query8,store_sales,128
query9,store_sales,923
query10,catalog_sales,64
query10,store_sales,128
query10,web_sales,128
query11,store_sales,178
query11,web_sales,128
query12,web_sales,128
query13,store_sales,177
query14,catalog_sales,386
query14,store_sales,534
query14,web_sales,208
query15,catalog_sales,64
query16,catalog_returns,128
query16,catalog_sales,649
query17,catalog_sales,128
query17,store_returns,128
query17,store_sales,128
query18,catalog_sales,128
query19,store_sales,128
query20,catalog_sales,64
query21,inventory,64
query22,inventory,64
query23,catalog_sales,64
query23,store_sales,923
query23,web_sales,128
query24,store_returns,129
query24,store_sales,923
query25,catalog_sales,121
query25,store_returns,128
query25,store_sales,128
query26,catalog_sales,128
query27,store_sales,178
query28,store_sales,923
query29,catalog_sales,386
query29,store_returns,128
query29,store_sales,128
query30,web_returns,128
query31,store_sales,128
query31,web_sales,128
query32,catalog_sales,64
query33,catalog_sales,64
query33,store_sales,128
query33,web_sales,128
query35,catalog_sales,128
query35,store_sales,128
query35,web_sales,128
query36,store_sales,178
query37,catalog_sales,649
query37,inventory,64
query38,catalog_sales,128
query38,store_sales,178
query38,web_sales,128
query39,inventory,64
query40,catalog_returns,128
query40,catalog_sales,64
query42,store_sales,128
query43,store_sales,179
query44,store_sales,923
query45,web_sales,128
query46,store_sales,153
query47,store_sales,217
query48,store_sales,178
query49,catalog_returns,128
query49,catalog_sales,64
query49,store_returns,129
query49,store_sales,128
query49,web_returns,128
query49,web_sales,128
query50,store_returns,128
query50,store_sales,891
query51,store_sales,178
query51,web_sales,128
query52,store_sales,128
query53,store_sales,177
query54,catalog_sales,64
query54,store_sales,128
query54,web_sales,128
query55,store_sales,128
query56,catalog_sales,64
query56,store_sales,128
query56,web_sales,128
query57,catalog_sales,156
query58,catalog_sales,64
query58,store_sales,64
query58,web_sales,64
query59,store_sales,891
query60,catalog_sales,64
query60,store_sales,128
query60,web_sales,128
query61,store_sales,128
query62,web_sales,347
query63,store_sales,178
query64,catalog_returns,128
query64,catalog_sales,649
query64,store_returns,129
query64,store_sales,179
query65,store_sales,178
query66,catalog_sales,128
query66,web_sales,128
query67,store_sales,178
query69,catalog_sales,64
query69,store_sales,128
query69,web_sales,128
query70,store_sales,178
query71,catalog_sales,64
query71,store_sales,128
query71,web_sales,128
query72,catalog_returns,128
query72,catalog_sales,129
query72,inventory,128
query73,store_sales,128
query74,store_sales,178
query74,web_sales,128
query75,catalog_returns,128
query75,catalog_sales,129
query75,store_returns,129
query75,store_sales,179
query75,web_returns,128
query75,web_sales,128
query76,catalog_sales,646
query76,store_sales,891
query76,web_sales,347
query77,catalog_returns,64
query77,catalog_sales,64
query77,store_returns,128
query77,store_sales,128
query77,web_returns,128
query77,web_sales,128
query78,catalog_returns,128
query78,catalog_sales,128
query78,store_returns,129
query78,store_sales,177
query78,web_returns,128
query78,web_sales,128
query79,store_sales,128
query80,catalog_returns,128
query80,catalog_sales,64
query80,store_returns,129
query80,store_sales,128
query80,web_returns,128
query80,web_sales,128
query81,catalog_returns,128
query82,inventory,64
query82,store_sales,923
query83,catalog_returns,64
query83,store_returns,106
query83,web_returns,105
query84,store_returns,129
query85,web_returns,128
query85,web_sales,128
query86,web_sales,128
query87,catalog_sales,128
query87,store_sales,178
query87,web_sales,128
query88,store_sales,923
query89,store_sales,178
query90,web_sales,347
query91,catalog_returns,64
query92,web_sales,128
query93,store_returns,129
query93,store_sales,923
query94,web_returns,128
query94,web_sales,347
query95,web_returns,128
query95,web_sales,347
query96,store_sales,923
query97,catalog_sales,128
query97,store_sales,178
query98,store_sales,128
query99,catalog_sales,649
