query,off_ms,cold_ms,warm_ms,speedup_base_vs_warm,warm_split_MiB,off_tasks,warm_tasks
query1,287,223,348,0.82,64,20,3
query2,21126,11957,11614,1.82,646,1302,462
query3,819,971,958,0.85,140,111,100
query4,13931,11277,11457,1.22,178,245,232
query5,6747,4500,4832,1.40,347,1162,434
query6,882,879,756,1.17,128,20,20
query7,3915,3273,3195,1.23,177,245,179
query8,1189,1155,1377,0.86,128,59,59
query9,15353,3525,3729,4.12,923,1232,174
query10,1872,1864,1663,1.13,128,79,79
query11,8012,7415,7650,1.05,178,245,232
query12,626,702,695,0.90,128,20,20
query13,4328,3012,3153,1.37,177,245,179
query15,581,1172,425,1.37,64,20,11
query16,5990,2901,2733,2.19,649,229,229
query17,2416,2316,2607,0.93,128,168,168
query18,1576,1278,1249,1.26,128,28,28
query19,1082,1060,953,1.14,128,23,23
query20,599,481,604,0.99,64,17,12
query21,508,417,397,1.28,64,16,4
query22,1498,1288,1156,1.30,64,18,17
query25,2170,2240,2132,1.02,128,134,134
query26,1202,647,644,1.87,128,28,28
query27,3333,2887,2982,1.12,178,245,177
query28,43652,16957,16791,2.60,923,1232,174
query29,2096,2256,3103,0.68,386,84,77
query30,4600,4328,4547,1.01,128,229,229
query31,3432,3787,3917,0.88,128,63,63
query32,796,694,680,1.17,64,15,10
query33,1156,1170,2383,0.49,128,20,20
query34,238,350,204,1.17,64,20,3
query35,2758,2989,3040,0.91,128,180,180
query36,3139,2100,3101,1.01,178,245,178
query37,778,513,563,1.38,649,141,28
query38,3541,4989,4242,0.83,178,246,233
query40,2093,1366,1382,1.51,128,229,229
query41,256,281,313,0.82,64,5,1
query42,389,462,766,0.51,128,23,23
query43,2866,2297,2335,1.23,179,247,178
query44,2417,2204,2301,1.05,923,1232,174
query45,1156,1188,1228,0.94,128,57,57
query46,2733,2142,2276,1.20,153,212,177
query47,3730,3041,3274,1.14,217,288,171
query48,3532,2583,2555,1.38,178,245,177
query49,9520,9721,10124,0.94,129,1348,1348
query50,7822,6361,5933,1.32,891,1227,180
query51,4152,4389,4322,0.96,178,245,232
query52,470,486,445,1.06,128,23,23
query53,2388,1822,2012,1.19,177,245,179
query54,1425,1297,1320,1.08,128,63,63
query55,542,438,470,1.15,128,23,23
query56,1274,1085,1129,1.13,128,20,20
query57,1106,1093,1162,0.95,156,34,28
query58,1363,1239,1054,1.29,64,16,9
query59,20641,8852,9056,2.28,891,1227,180
query60,1195,1221,1123,1.06,128,22,22
query61,1167,1539,1045,1.12,128,23,23
query62,14219,8112,8056,1.77,347,1162,434
query63,2215,2190,2017,1.10,178,245,178
query64,13278,12049,12662,1.05,649,1253,1237
query65,5184,4345,4030,1.29,178,245,177
query66,7688,7063,7582,1.01,128,232,232
query67,11517,8064,8089,1.42,178,245,200
query68,289,220,255,1.13,64,20,3
query69,1366,1386,1403,0.97,128,58,58
query70,4434,3780,3896,1.14,178,245,177
query71,1458,1282,1334,1.09,128,60,52
query72,6791,5351,5581,1.22,129,229,229
query73,969,2350,1065,0.91,128,47,47
query74,8135,7318,8240,0.99,178,245,232
query75,20628,21197,20115,1.03,179,1348,1348
query76,17234,7394,8933,1.93,891,2529,642
query77,1693,1612,1556,1.09,128,22,22
query78,15831,15626,15635,1.01,177,1348,1348
query79,1664,1712,1656,1.00,128,106,106
query80,12036,11654,11971,1.01,129,1348,1348
query81,1658,1719,3553,0.47,128,46,46
query82,3997,2427,2813,1.42,923,1232,174
query83,1025,918,2038,0.50,106,16,16
query84,4773,4876,4190,1.14,129,1253,1237
query85,9247,9618,10591,0.87,128,1348,1348
query86,2400,2591,2425,0.99,128,232,232
query87,3679,6275,4013,0.92,178,245,232
query88,40142,16969,17422,2.30,923,1232,174
query89,2833,3004,2379,1.19,178,245,177
query90,8562,5230,5396,1.59,347,1162,434
query91,852,766,651,1.31,64,20,17
query92,1068,1088,1143,0.93,128,57,57
query93,12089,10593,10128,1.19,923,1253,1237
query94,14922,11177,11223,1.33,347,1348,1348
query95,21582,14062,13895,1.55,347,1348,1348
query96,6628,7701,4545,1.46,923,1232,174
query97,2040,1977,2620,0.78,178,245,177
query98,1126,1112,1087,1.04,128,20,20
query99,1808,847,1476,1.22,649,141,28
