NDS SF100 — floored dynamic autotuner vs 128 MiB baseline (all 99 queries)
query      off(s)  warm(s)  speedup    split   tasks off->warm
--------------------------------------------------------------
query1       0.29     0.35    0.82x    64MiB             20->3 x
query2      21.13    11.61    1.82x   646MiB         1302->462 *
query3       0.82     0.96    0.85x   140MiB          111->100 x
query4      13.93    11.46    1.22x   178MiB          245->232
query5       6.75     4.83    1.40x   347MiB         1162->434 *
query6       0.88     0.76    1.17x   128MiB            20->20
query7       3.92     3.19    1.23x   177MiB          245->179
query8       1.19     1.38    0.86x   128MiB            59->59 x
query9      15.35     3.73    4.12x   923MiB         1232->174 *
query10      1.87     1.66    1.13x   128MiB            79->79
query11      8.01     7.65    1.05x   178MiB          245->232
query12      0.63     0.69    0.90x   128MiB            20->20 x
query13      4.33     3.15    1.37x   177MiB          245->179 *
query15      0.58     0.42    1.37x    64MiB            20->11 *
query16      5.99     2.73    2.19x   649MiB          229->229 *
query17      2.42     2.61    0.93x   128MiB          168->168 x
query18      1.58     1.25    1.26x   128MiB            28->28
query19      1.08     0.95    1.14x   128MiB            23->23
query20      0.60     0.60    0.99x    64MiB            17->12
query21      0.51     0.40    1.28x    64MiB             16->4
query22      1.50     1.16    1.30x    64MiB            18->17 *
query25      2.17     2.13    1.02x   128MiB          134->134
query26      1.20     0.64    1.87x   128MiB            28->28 *
query27      3.33     2.98    1.12x   178MiB          245->177
query28     43.65    16.79    2.60x   923MiB         1232->174 *
query29      2.10     3.10    0.68x   386MiB            84->77 x
query30      4.60     4.55    1.01x   128MiB          229->229
query31      3.43     3.92    0.88x   128MiB            63->63 x
query32      0.80     0.68    1.17x    64MiB            15->10
query33      1.16     2.38    0.49x   128MiB            20->20 x
query34      0.24     0.20    1.17x    64MiB             20->3
query35      2.76     3.04    0.91x   128MiB          180->180 x
query36      3.14     3.10    1.01x   178MiB          245->178
query37      0.78     0.56    1.38x   649MiB           141->28 *
query38      3.54     4.24    0.83x   178MiB          246->233 x
query40      2.09     1.38    1.51x   128MiB          229->229 *
query41      0.26     0.31    0.82x    64MiB              5->1 x
query42      0.39     0.77    0.51x   128MiB            23->23 x
query43      2.87     2.33    1.23x   179MiB          247->178
query44      2.42     2.30    1.05x   923MiB         1232->174
query45      1.16     1.23    0.94x   128MiB            57->57 x
query46      2.73     2.28    1.20x   153MiB          212->177
query47      3.73     3.27    1.14x   217MiB          288->171
query48      3.53     2.56    1.38x   178MiB          245->177 *
query49      9.52    10.12    0.94x   129MiB        1348->1348 x
query50      7.82     5.93    1.32x   891MiB         1227->180 *
query51      4.15     4.32    0.96x   178MiB          245->232
query52      0.47     0.45    1.06x   128MiB            23->23
query53      2.39     2.01    1.19x   177MiB          245->179
query54      1.43     1.32    1.08x   128MiB            63->63
query55      0.54     0.47    1.15x   128MiB            23->23
query56      1.27     1.13    1.13x   128MiB            20->20
query57      1.11     1.16    0.95x   156MiB            34->28
query58      1.36     1.05    1.29x    64MiB             16->9
query59     20.64     9.06    2.28x   891MiB         1227->180 *
query60      1.20     1.12    1.06x   128MiB            22->22
query61      1.17     1.04    1.12x   128MiB            23->23
query62     14.22     8.06    1.77x   347MiB         1162->434 *
query63      2.21     2.02    1.10x   178MiB          245->178
query64     13.28    12.66    1.05x   649MiB        1253->1237
query65      5.18     4.03    1.29x   178MiB          245->177
query66      7.69     7.58    1.01x   128MiB          232->232
query67     11.52     8.09    1.42x   178MiB          245->200 *
query68      0.29     0.26    1.13x    64MiB             20->3
query69      1.37     1.40    0.97x   128MiB            58->58
query70      4.43     3.90    1.14x   178MiB          245->177
query71      1.46     1.33    1.09x   128MiB            60->52
query72      6.79     5.58    1.22x   129MiB          229->229
query73      0.97     1.06    0.91x   128MiB            47->47 x
query74      8.13     8.24    0.99x   178MiB          245->232
query75     20.63    20.11    1.03x   179MiB        1348->1348
query76     17.23     8.93    1.93x   891MiB         2529->642 *
query77      1.69     1.56    1.09x   128MiB            22->22
query78     15.83    15.63    1.01x   177MiB        1348->1348
query79      1.66     1.66    1.00x   128MiB          106->106
query80     12.04    11.97    1.01x   129MiB        1348->1348
query81      1.66     3.55    0.47x   128MiB            46->46 x
query82      4.00     2.81    1.42x   923MiB         1232->174 *
query83      1.02     2.04    0.50x   106MiB            16->16 x
query84      4.77     4.19    1.14x   129MiB        1253->1237
query85      9.25    10.59    0.87x   128MiB        1348->1348 x
query86      2.40     2.42    0.99x   128MiB          232->232
query87      3.68     4.01    0.92x   178MiB          245->232 x
query88     40.14    17.42    2.30x   923MiB         1232->174 *
query89      2.83     2.38    1.19x   178MiB          245->177
query90      8.56     5.40    1.59x   347MiB         1162->434 *
query91      0.85     0.65    1.31x    64MiB            20->17 *
query92      1.07     1.14    0.93x   128MiB            57->57 x
query93     12.09    10.13    1.19x   923MiB        1253->1237
query94     14.92    11.22    1.33x   347MiB        1348->1348 *
query95     21.58    13.89    1.55x   347MiB        1348->1348 *
query96      6.63     4.54    1.46x   923MiB         1232->174 *
query97      2.04     2.62    0.78x   178MiB          245->177 x
query98      1.13     1.09    1.04x   128MiB            20->20
query99      1.81     1.48    1.22x   649MiB           141->28
--------------------------------------------------------------
TOTAL       525.5    391.2    1.34x   n=95   (* win>=1.3x, x slower)
