query,off_ms,cold_ms,warm_ms,speedup_base_vs_warm,warm_split_MiB,off_tasks,warm_tasks
query1,287,292,222,1.29,4096,20,1
query2,21126,7153,7581,2.79,4096,1302,42
query3,819,970,810,1.01,4096,111,9
query4,13931,10535,25117,0.55,4096,245,17
query5,6747,4328,5265,1.28,4096,1162,45
query6,882,961,1002,0.88,4096,20,17
query7,3915,2581,2585,1.51,4096,245,13
query8,1189,1741,1711,0.69,4096,59,2
query9,15353,3285,3730,4.12,1678,1232,96
query10,1872,1339,1339,1.40,4096,79,16
query11,8012,5135,5130,1.56,4096,245,17
query12,626,1218,1221,0.51,4096,20,3
query13,4328,1392,1614,2.68,4096,245,22
query15,581,560,588,0.99,4096,20,1
query16,5990,1998,2979,2.01,4096,229,17
query17,2416,2114,2194,1.10,4096,168,17
query18,1576,1566,1577,1.00,2637,28,17
query19,1082,917,912,1.19,4096,23,2
query20,599,473,555,1.08,4096,17,3
query21,508,432,1381,0.37,4096,16,2
query22,1498,1429,1680,0.89,1286,18,17
query25,2170,1949,1912,1.13,4096,134,17
query26,1202,817,854,1.41,4096,28,3
query27,3333,1839,1758,1.90,4096,245,10
query28,43652,14756,14492,3.01,2272,1232,71
query29,2096,3511,3472,0.60,4096,84,17
query30,4600,2838,2840,1.62,4096,229,17
query31,3432,2177,2268,1.51,3364,63,3
query32,796,605,726,1.10,4096,15,1
query33,1156,1174,1233,0.94,4096,20,3
query34,238,195,375,0.63,4096,20,1
query35,2758,2477,2072,1.33,4096,180,18
query36,3139,1332,2001,1.57,4096,245,8
query37,778,675,670,1.16,4096,141,5
query38,3541,3318,2767,1.28,4096,246,19
query40,2093,1923,1584,1.32,4096,229,17
query41,256,267,289,0.89,3233,5,1
query42,389,998,2369,0.16,2419,23,2
query43,2866,1159,1155,2.48,3566,247,22
query44,2417,2407,2314,1.04,2107,1232,83
query45,1156,1283,1230,0.94,4096,57,2
query46,2733,1641,1777,1.54,4096,212,17
query47,3730,2341,2560,1.46,4096,288,22
query48,3532,1528,2481,1.42,4096,245,10
query49,9520,6473,6157,1.55,4096,1348,52
query50,7822,6253,6666,1.17,4096,1227,80
query51,4152,3533,3749,1.11,4096,245,17
query52,470,678,773,0.61,4096,23,1
query53,2388,1772,1718,1.39,4096,245,10
query54,1425,1091,1111,1.28,4096,63,17
query55,542,639,680,0.80,4096,23,1
query56,1274,1060,1181,1.08,4096,20,3
query57,1106,1218,1195,0.93,4096,34,6
query58,1363,932,886,1.54,4096,16,1
query59,20641,6097,6914,2.99,4096,1227,48
query60,1195,1383,1268,0.94,4096,22,3
query61,1167,1189,1535,0.76,4096,23,2
query62,14219,4720,4850,2.93,4096,1162,37
query63,2215,1802,1591,1.39,4096,245,8
query64,13278,8918,7964,1.67,4096,1253,40
query65,5184,3359,3195,1.62,4096,245,34
query66,7688,2703,2586,2.97,4096,232,12
query67,11517,6980,6857,1.68,4096,245,67
query68,289,229,840,0.34,3242,20,1
query69,1366,1256,1366,1.00,4096,58,17
query70,4434,3026,3416,1.30,4096,245,8
query71,1458,1323,2605,0.56,4096,60,3
query72,6791,5828,5315,1.28,4096,229,100
query73,969,1136,1222,0.79,4096,47,17
query74,8135,4644,4469,1.82,4096,245,17
query75,20628,18492,11022,1.87,4096,1348,43
query76,17234,6284,7579,2.27,4096,2529,103
query77,1693,1508,1476,1.15,4096,22,3
query78,15831,9087,9048,1.75,4096,1348,50
query79,1664,1789,1399,1.19,4096,106,17
query80,12036,6911,7224,1.67,4096,1348,52
query81,1658,2199,1994,0.83,4096,46,17
query82,3997,2484,2591,1.54,4096,1232,40
query83,1025,2449,3022,0.34,4096,16,1
query84,4773,2655,2977,1.60,4096,1253,40
query85,9247,4618,4492,2.06,4096,1348,43
query86,2400,1424,1708,1.41,2535,232,12
query87,3679,3254,2902,1.27,4096,245,17
query88,40142,16029,16702,2.40,4096,1232,40
query89,2833,1412,1629,1.74,4096,245,8
query90,8562,4735,4470,1.92,4096,1162,60
query91,852,741,887,0.96,4096,20,17
query92,1068,1007,1156,0.92,4096,57,2
query93,12089,8409,7398,1.63,4096,1253,100
query94,14922,7693,7228,2.06,4096,1348,60
query95,21582,8709,8830,2.44,4096,1348,45
query96,6628,6687,4862,1.36,4096,1232,40
query97,2040,1890,1973,1.03,4096,245,17
query98,1126,1267,1300,0.87,4096,20,3
query99,1808,1701,1896,0.95,4096,141,10
