query,table,split_MiB
query1,date_dim,4096
query1,store,4096
query1,customer,4096
query2,web_sales,4096
query2,catalog_sales,4096
query2,date_dim,2572
query3,date_dim,4096
query3,item,4096
query3,store_sales,4096
query4,date_dim,4096
query4,store_sales,4096
query4,web_sales,4096
query4,catalog_sales,3780
query4,customer,2746
query5,store,4096
query5,catalog_page,4096
query5,web_returns,4096
query5,web_sales,4096
query5,web_site,4096
query5,store_sales,4096
query5,store_returns,4096
query5,catalog_sales,4096
query5,catalog_returns,4096
query5,date_dim,2572
query6,store_sales,4096
query6,item,4096
query6,customer,4096
query6,date_dim,2572
query6,customer_address,2270
query7,promotion,4096
query7,item,4096
query7,store_sales,4096
query7,date_dim,2572
query7,customer_demographics,366
query8,customer_address,4096
query8,customer,4096
query8,store_sales,4096
query8,date_dim,2572
query8,store,2157
query9,store_sales,3356
query9,reason,3347
query10,date_dim,4096
query10,customer_address,4096
query10,web_sales,4096
query10,catalog_sales,4096
query10,customer,3972
query10,store_sales,3017
query10,customer_demographics,908
query11,customer,4096
query11,store_sales,4096
query11,web_sales,4096
query11,date_dim,2572
query12,web_sales,4096
query12,item,3936
query12,date_dim,2572
query13,store,4096
query13,date_dim,4096
query13,store_sales,3018
query13,customer_demographics,2038
query13,customer_address,975
query13,household_demographics,434
query14,store_sales,4096
query14,item,4096
query14,date_dim,4096
query14,catalog_sales,4096
query14,web_sales,4096
query15,customer,4096
query15,catalog_sales,4096
query15,date_dim,2572
query15,customer_address,1997
query16,catalog_sales,4096
query16,catalog_returns,4096
query16,call_center,4096
query16,date_dim,4096
query16,customer_address,2570
query17,store_sales,4096
query17,store_returns,4096
query17,catalog_sales,4096
query17,store,4096
query17,item,2704
query17,date_dim,2572
query18,customer,4096
query18,customer_address,4096
query18,catalog_sales,4096
query18,item,3612
query18,date_dim,2572
query18,customer_demographics,908
query19,date_dim,4096
query19,item,4096
query19,customer,4096
query19,customer_address,4096
query19,store,4096
query19,store_sales,3375
query20,date_dim,4096
query20,catalog_sales,4096
query20,item,1270
query21,warehouse,4096
query21,item,4096
query21,date_dim,2572
query21,inventory,532
query22,date_dim,3200
query22,item,1526
query22,inventory,667
query23,catalog_sales,4096
query23,date_dim,4096
query23,item,4096
query23,customer,4096
query23,web_sales,4096
query23,store_sales,4096
query24,store,4096
query24,item,4096
query24,store_returns,4096
query24,store_sales,4096
query24,customer,3892
query24,customer_address,1616
query25,store_sales,4096
query25,store_returns,4096
query25,catalog_sales,4096
query25,store,4096
query25,item,3064
query25,date_dim,2572
query26,promotion,4096
query26,item,4096
query26,catalog_sales,4096
query26,date_dim,2228
query26,customer_demographics,2038
query27,store,4096
query27,item,4096
query27,store_sales,4096
query27,date_dim,2228
query27,customer_demographics,366
query28,store_sales,4096
query29,store_returns,4096
query29,catalog_sales,4096
query29,date_dim,4096
query29,store,4096
query29,item,4096
query29,store_sales,3849
query30,date_dim,4096
query30,customer,4096
query30,web_returns,4096
query30,customer_address,1616
query31,customer_address,4096
query31,store_sales,4096
query31,web_sales,4096
query31,date_dim,2572
query32,item,4096
query32,date_dim,4096
query32,catalog_sales,4096
query33,date_dim,4096
query33,item,4096
query33,store_sales,4096
query33,catalog_sales,4096
query33,web_sales,4096
query33,customer_address,958
query34,store,4096
query34,customer,4096
query34,date_dim,2572
query34,household_demographics,434
query35,customer_address,4096
query35,store_sales,4096
query35,web_sales,4096
query35,catalog_sales,4096
query35,date_dim,3200
query35,customer,2010
query35,customer_demographics,366
query36,store,4096
query36,date_dim,4096
query36,item,4096
query36,store_sales,2086
query37,item,4096
query37,catalog_sales,4096
query37,date_dim,2228
query37,inventory,532
query38,catalog_sales,4096
query38,web_sales,4096
query38,store_sales,3503
query38,date_dim,2572
query38,customer,1155
query39,date_dim,4096
query39,item,4096
query39,warehouse,4096
query39,inventory,532
query40,catalog_sales,4096
query40,catalog_returns,4096
query40,warehouse,4096
query40,item,4096
query40,date_dim,4096
query41,item,4096
query42,item,4096
query42,store_sales,4096
query42,date_dim,2572
query43,store,4096
query43,date_dim,4096
query43,store_sales,3030
query44,item,4096
query44,store_sales,3906
query45,customer,4096
query45,customer_address,4096
query45,date_dim,4096
query45,item,4096
query45,web_sales,4096
query46,store,4096
query46,customer_address,4096
query46,customer,4096
query46,store_sales,4096
query46,date_dim,2572
query46,household_demographics,1072
query47,store,4096
query47,store_sales,3497
query47,item,2704
query47,date_dim,2572
query48,store,4096
query48,customer_address,4096
query48,store_sales,4096
query48,date_dim,2572
query48,customer_demographics,216
query49,web_sales,4096
query49,web_returns,4096
query49,catalog_sales,4096
query49,catalog_returns,4096
query49,store_sales,4096
query49,store_returns,4096
query49,date_dim,2572
query50,store_sales,4096
query50,store_returns,4096
query50,store,4096
query50,date_dim,2572
query51,web_sales,4096
query51,store_sales,4096
query51,date_dim,2572
query52,date_dim,4096
query52,item,4096
query52,store_sales,4096
query53,store,4096
query53,date_dim,4096
query53,store_sales,4096
query53,item,1809
query54,item,4096
query54,store_sales,4096
query54,store,4096
query54,catalog_sales,4096
query54,web_sales,4096
query54,date_dim,2572
query54,customer_address,2570
query54,customer,2130
query55,date_dim,4096
query55,item,4096
query55,store_sales,4096
query56,item,4096
query56,store_sales,4096
query56,catalog_sales,4096
query56,web_sales,4096
query56,date_dim,2572
query56,customer_address,1562
query57,date_dim,4096
query57,item,4096
query57,call_center,4096
query57,catalog_sales,4096
query58,item,4096
query58,catalog_sales,4096
query58,web_sales,4096
query58,store_sales,3019
query58,date_dim,2572
query59,store,4096
query59,store_sales,4096
query59,date_dim,2572
query60,customer_address,4096
query60,store_sales,4096
query60,catalog_sales,4096
query60,web_sales,4096
query60,item,3612
query60,date_dim,2572
query61,store,4096
query61,promotion,4096
query61,date_dim,4096
query61,item,4096
query61,store_sales,4096
query61,customer,3972
query61,customer_address,2570
query62,warehouse,4096
query62,ship_mode,4096
query62,web_site,4096
query62,web_sales,4096
query62,date_dim,2572
query63,store,4096
query63,item,4096
query63,store_sales,4096
query63,date_dim,2572
query64,store_sales,4096
query64,store_returns,4096
query64,catalog_sales,4096
query64,catalog_returns,4096
query64,date_dim,4096
query64,store,4096
query64,customer,4096
query64,promotion,4096
query64,income_band,4096
query64,item,4096
query64,customer_address,2270
query64,household_demographics,562
query64,customer_demographics,299
query65,store,4096
query65,item,4096
query65,store_sales,4096
query65,date_dim,2572
query66,warehouse,4096
query66,ship_mode,4096
query66,date_dim,4096
query66,web_sales,4096
query66,catalog_sales,4096
query66,time_dim,1339
query67,store,4096
query67,date_dim,4096
query67,store_sales,4096
query67,item,1270
query68,store,4096
query68,date_dim,4096
query68,customer_address,1212
query68,customer,1155
query68,household_demographics,722
query69,customer,4096
query69,store_sales,4096
query69,web_sales,4096
query69,catalog_sales,4096
query69,date_dim,2572
query69,customer_address,1997
query69,customer_demographics,117
query70,store,4096
query70,date_dim,4096
query70,store_sales,4096
query71,item,4096
query71,date_dim,4096
query71,web_sales,4096
query71,catalog_sales,4096
query71,store_sales,4096
query71,time_dim,1339
query72,date_dim,4096
query72,item,4096
query72,warehouse,4096
query72,promotion,4096
query72,catalog_returns,4096
query72,catalog_sales,4096
query72,household_demographics,1072
query72,inventory,667
query72,customer_demographics,299
query73,store,4096
query73,date_dim,4096
query73,customer,4096
query73,store_sales,4096
query73,household_demographics,434
query74,date_dim,4096
query74,web_sales,4096
query74,store_sales,3399
query74,customer,817
query75,date_dim,4096
query75,item,4096
query75,catalog_returns,4096
query75,store_returns,4096
query75,web_returns,4096
query75,catalog_sales,4096
query75,web_sales,4096
query75,store_sales,3020
query76,item,4096
query76,store_sales,4096
query76,web_sales,4096
query76,catalog_sales,4096
query76,date_dim,2572
query77,store,4096
query77,store_sales,4096
query77,store_returns,4096
query77,catalog_sales,4096
query77,catalog_returns,4096
query77,web_sales,4096
query77,web_returns,4096
query77,web_page,3381
query77,date_dim,3200
query78,store_returns,4096
query78,web_sales,4096
query78,web_returns,4096
query78,catalog_sales,4096
query78,catalog_returns,4096
query78,store_sales,3986
query78,date_dim,2572
query79,store,4096
query79,customer,4096
query79,store_sales,4096
query79,date_dim,2572
query79,household_demographics,562
query80,store_returns,4096
query80,store,4096
query80,item,4096
