query,table,split_MiB
query1,customer,11
query1,date_dim,4
query1,store,4
query2,web_sales,128
query2,catalog_sales,128
query2,date_dim,4
query3,store_sales,128
query3,date_dim,4
query3,item,4
query4,store_sales,128
query4,catalog_sales,128
query4,web_sales,128
query4,customer,11
query4,date_dim,4
query5,web_sales,128
query5,store_sales,84
query5,store_returns,75
query5,web_returns,75
query5,catalog_sales,10
query5,catalog_returns,7
query5,date_dim,4
query5,store,4
query5,catalog_page,4
query5,web_site,4
query6,store_sales,128
query6,customer,11
query6,customer_address,6
query6,date_dim,4
query6,item,4
query7,store_sales,128
query7,customer_demographics,5
query7,promotion,4
query7,date_dim,4
query7,item,4
query8,store_sales,128
query8,customer,11
query8,customer_address,6
query8,store,4
query8,date_dim,4
query9,store_sales,128
query9,reason,4
query10,store_sales,128
query10,web_sales,128
query10,catalog_sales,55
query10,customer,11
query10,customer_address,6
query10,customer_demographics,5
query10,date_dim,4
query11,store_sales,128
query11,web_sales,128
query11,customer,11
query11,date_dim,4
query12,web_sales,128
query12,date_dim,4
query12,item,4
query13,store_sales,128
query13,customer_address,6
query13,customer_demographics,5
query13,store,4
query13,date_dim,4
query13,household_demographics,4
query14,store_sales,128
query14,catalog_sales,128
query14,web_sales,128
query14,item,4
query14,date_dim,4
query15,catalog_sales,41
query15,customer,11
query15,customer_address,6
query15,date_dim,4
query16,catalog_sales,128
query16,catalog_returns,128
query16,customer_address,6
query16,call_center,4
query16,date_dim,4
query17,store_sales,128
query17,store_returns,128
query17,catalog_sales,128
query17,date_dim,4
query17,store,4
query17,item,4
query18,catalog_sales,128
query18,customer,11
query18,customer_address,6
query18,customer_demographics,5
query18,date_dim,4
query18,item,4
query19,store_sales,128
query19,customer,11
query19,customer_address,6
query19,date_dim,4
query19,item,4
query19,store,4
query20,catalog_sales,14
query20,date_dim,4
query20,item,4
query21,inventory,6
query21,warehouse,4
query21,date_dim,4
query21,item,4
query22,inventory,39
query22,date_dim,4
query22,item,4
query23,web_sales,128
query23,store_sales,128
query23,catalog_sales,13
query23,customer,11
query23,date_dim,4
query23,item,4
query24,store_returns,128
query24,store_sales,128
query24,customer,11
query24,customer_address,6
query24,store,4
query24,item,4
query25,store_sales,128
query25,store_returns,128
query25,catalog_sales,121
query25,date_dim,4
query25,store,4
query25,item,4
query26,catalog_sales,128
query26,customer_demographics,5
query26,promotion,4
query26,date_dim,4
query26,item,4
query27,store_sales,128
query27,customer_demographics,5
query27,store,4
query27,date_dim,4
query27,item,4
query28,store_sales,128
query29,store_sales,128
query29,store_returns,128
query29,catalog_sales,128
query29,date_dim,4
query29,store,4
query29,item,4
query30,web_returns,128
query30,customer,11
query30,customer_address,6
query30,date_dim,4
query31,store_sales,128
query31,web_sales,128
query31,customer_address,6
query31,date_dim,4
query32,catalog_sales,41
query32,item,4
query32,date_dim,4
query33,store_sales,128
query33,web_sales,128
query33,catalog_sales,13
query33,customer_address,6
query33,date_dim,4
query33,item,4
query34,customer,11
query34,store,4
query34,household_demographics,4
query34,date_dim,4
query35,store_sales,128
query35,web_sales,128
query35,catalog_sales,128
query35,customer,11
query35,customer_address,6
query35,customer_demographics,5
query35,date_dim,4
query36,store_sales,128
query36,store,4
query36,date_dim,4
query36,item,4
query37,catalog_sales,128
query37,inventory,6
query37,date_dim,4
query37,item,4
query38,store_sales,128
query38,catalog_sales,128
query38,web_sales,128
query38,customer,11
query38,date_dim,4
query39,date_dim,4
query39,item,4
query39,warehouse,4
query39,inventory,4
query40,catalog_returns,128
query40,catalog_sales,27
query40,warehouse,4
query40,item,4
query40,date_dim,4
query41,item,4
query42,store_sales,128
query42,date_dim,4
query42,item,4
query43,store_sales,128
query43,store,4
query43,date_dim,4
query44,store_sales,128
query44,item,4
query45,web_sales,128
query45,customer,11
query45,customer_address,6
query45,date_dim,4
query45,item,4
query46,store_sales,128
query46,customer,11
query46,customer_address,6
query46,store,4
query46,household_demographics,4
query46,date_dim,4
query47,store_sales,128
query47,date_dim,4
query47,item,4
query47,store,4
query48,store_sales,128
query48,customer_address,6
query48,customer_demographics,5
query48,store,4
query48,date_dim,4
query49,web_sales,128
query49,web_returns,128
query49,catalog_returns,128
query49,store_sales,128
query49,store_returns,128
query49,catalog_sales,28
query49,date_dim,4
query50,store_sales,128
query50,store_returns,128
query50,store,4
query50,date_dim,4
query51,web_sales,128
query51,store_sales,128
query51,date_dim,4
query52,store_sales,128
query52,date_dim,4
query52,item,4
query53,store_sales,128
query53,store,4
query53,date_dim,4
query53,item,4
query54,store_sales,128
query54,web_sales,128
query54,catalog_sales,13
query54,customer,11
query54,customer_address,6
query54,item,4
query54,date_dim,4
query54,store,4
query55,store_sales,128
query55,date_dim,4
query55,item,4
query56,store_sales,128
query56,web_sales,128
query56,catalog_sales,13
query56,customer_address,6
query56,date_dim,4
query56,item,4
query57,catalog_sales,128
query57,date_dim,4
query57,item,4
query57,call_center,4
query58,store_sales,37
query58,web_sales,35
query58,date_dim,4
query58,item,4
query58,catalog_sales,4
query59,store_sales,128
query59,date_dim,4
query59,store,4
query60,store_sales,128
query60,web_sales,128
query60,catalog_sales,21
query60,customer_address,6
query60,date_dim,4
query60,item,4
query61,store_sales,128
query61,customer,11
query61,customer_address,6
query61,store,4
query61,promotion,4
query61,date_dim,4
query61,item,4
query62,web_sales,128
query62,warehouse,4
query62,ship_mode,4
query62,web_site,4
query62,date_dim,4
query63,store_sales,128
query63,store,4
query63,date_dim,4
query63,item,4
query64,store_sales,128
query64,store_returns,128
query64,catalog_sales,128
query64,catalog_returns,128
query64,customer,11
query64,customer_address,6
query64,customer_demographics,5
query64,date_dim,4
query64,store,4
query64,promotion,4
query64,household_demographics,4
query64,income_band,4
query64,item,4
query65,store_sales,128
query65,store,4
query65,date_dim,4
query65,item,4
query66,web_sales,128
query66,catalog_sales,128
query66,warehouse,4
query66,ship_mode,4
query66,date_dim,4
query66,time_dim,4
query67,store_sales,128
query67,store,4
query67,date_dim,4
query67,item,4
query68,customer,11
query68,customer_address,6
query68,store,4
query68,household_demographics,4
query68,date_dim,4
query69,store_sales,128
query69,web_sales,128
query69,catalog_sales,40
query69,customer,11
query69,customer_address,6
query69,customer_demographics,5
query69,date_dim,4
query70,store_sales,128
query70,store,4
query70,date_dim,4
query71,web_sales,128
query71,store_sales,128
query71,catalog_sales,29
query71,item,4
query71,date_dim,4
query71,time_dim,4
query72,catalog_returns,128
query72,inventory,128
query72,catalog_sales,128
query72,customer_demographics,5
query72,household_demographics,4
query72,date_dim,4
query72,item,4
query72,warehouse,4
query72,promotion,4
query73,store_sales,128
query73,customer,11
query73,store,4
query73,household_demographics,4
query73,date_dim,4
query74,store_sales,128
query74,web_sales,128
query74,customer,11
query74,date_dim,4
query75,catalog_returns,128
query75,store_returns,128
query75,web_returns,128
query75,catalog_sales,128
query75,store_sales,128
query75,web_sales,128
query75,date_dim,4
query75,item,4
query76,store_sales,128
query76,web_sales,128
query76,catalog_sales,128
query76,item,4
query76,date_dim,4
query77,store_sales,128
query77,store_returns,128
query77,web_sales,128
query77,web_returns,128
query77,catalog_returns,27
query77,catalog_sales,22
query77,store,4
query77,date_dim,4
query77,web_page,4
query78,store_sales,128
query78,store_returns,128
query78,web_sales,128
query78,web_returns,128
query78,catalog_sales,128
query78,catalog_returns,128
query78,date_dim,4
query79,store_sales,128
query79,customer,11
query79,store,4
query79,household_demographics,4
query79,date_dim,4
query80,store_sales,128
query80,store_returns,128
query80,catalog_returns,128
query80,web_sales,128
query80,web_returns,128
query80,catalog_sales,22
query80,date_dim,4
query80,store,4
query80,item,4
query80,promotion,4
query80,catalog_page,4
query80,web_site,4
query81,catalog_returns,128
query81,customer,11
query81,customer_address,6
query81,date_dim,4
query82,store_sales,128
query82,inventory,5
query82,date_dim,4
query82,item,4
query83,store_returns,106
query83,web_returns,105
query83,catalog_returns,10
query83,date_dim,4
query83,item,4
query84,store_returns,128
query84,customer,11
query84,customer_address,6
query84,customer_demographics,5
query84,household_demographics,4
query84,income_band,4
query85,web_sales,128
query85,web_returns,128
query85,customer_address,6
query85,customer_demographics,5
query85,web_page,4
query85,date_dim,4
query85,reason,4
query86,web_sales,128
query86,date_dim,4
query86,item,4
query87,store_sales,128
query87,catalog_sales,128
query87,web_sales,128
query87,customer,11
query87,date_dim,4
query88,store_sales,128
query88,store,4
query88,household_demographics,4
query88,time_dim,4
query89,store_sales,128
query89,store,4
query89,date_dim,4
query89,item,4
query90,web_sales,128
query90,web_page,4
query90,household_demographics,4
query90,time_dim,4
query91,catalog_returns,24
query91,customer,11
query91,customer_address,6
query91,customer_demographics,5
query91,call_center,4
query91,date_dim,4
query91,household_demographics,4
query92,web_sales,128
query92,item,4
query92,date_dim,4
query93,store_sales,128
query93,store_returns,128
query93,reason,4
query94,web_sales,128
query94,web_returns,128
query94,customer_address,6
query94,web_site,4
query94,date_dim,4
query95,web_sales,128
query95,web_returns,128
query95,customer_address,6
query95,web_site,4
query95,date_dim,4
query96,store_sales,128
query96,store,4
query96,household_demographics,4
query96,time_dim,4
query97,store_sales,128
query97,catalog_sales,128
query97,date_dim,4
query98,store_sales,128
query98,date_dim,4
query98,item,4
query99,catalog_sales,128
query99,warehouse,4
query99,ship_mode,4
query99,call_center,4
query99,date_dim,4
