NDS SF100 per-query runtime and speedup (baseline = 128 MiB, autotuner off)

query      OFF (s)  1GiB (s)  2GiB (s)  1GiB speedup  2GiB speedup
query28       41.5      15.1      15.5         2.74x         2.68x
query88       39.7      16.6      17.4         2.39x         2.28x
query75       21.8      10.8      10.0         2.01x         2.17x
query95       21.6       8.5       8.8         2.54x         2.45x
query59       21.0       7.3       7.5         2.88x         2.79x
query2        20.0       7.5       6.7         2.69x         2.97x
query76       18.2       6.0       7.6         3.01x         2.39x
query78       16.0       9.0       9.0         1.77x         1.78x
query94       15.1       7.4       7.2         2.03x         2.09x
query9        14.2       3.7       3.3         3.82x         4.35x
query62       14.1       5.1       5.0         2.79x         2.82x
query64       14.1       8.2       7.8         1.73x         1.81x
query4        12.6      11.3      13.6         1.11x         0.93x
query93       12.3       8.4       7.2         1.46x         1.70x
query80       12.3       7.4       7.3         1.67x         1.69x
query67       10.5       6.9       6.8         1.53x         1.53x
query90       10.4       4.9       4.7         2.13x         2.21x
query66       10.0       2.8       2.5         3.64x         4.01x
query85        9.7       4.4       4.5         2.19x         2.12x
query49        9.2       6.3       6.8         1.46x         1.35x
query11        8.9       5.1       5.9         1.74x         1.51x
query50        8.7       6.6       6.8         1.32x         1.26x
query96        7.9       4.7       5.1         1.69x         1.54x
query5         7.3       5.5       3.8         1.33x         1.93x
query74        7.1       5.7       4.7         1.24x         1.50x
query72        5.9       5.3       5.7         1.12x         1.04x
query51        4.8       3.7       3.6         1.30x         1.33x
query65        4.6       3.6       4.0         1.30x         1.17x
query38        4.6       3.3       3.0         1.38x         1.52x
query84        4.4       3.3       2.8         1.34x         1.58x
query30        4.3       3.2       3.1         1.32x         1.39x
query82        4.2       2.5       3.4         1.66x         1.25x
query70        4.2       3.0       3.8         1.42x         1.12x
query13        4.2       2.0       2.0         2.12x         2.12x
query47        4.1       2.3       2.6         1.83x         1.59x
query87        4.1       3.0       3.2         1.37x         1.30x
query7         3.9       2.9       2.5         1.34x         1.53x
query27        3.6       1.9       1.8         1.90x         2.01x
query31        3.5       2.6       2.7         1.37x         1.31x
query48        3.5       1.9       2.0         1.81x         1.80x
query36        3.2       1.4       1.6         2.19x         2.03x
query16        3.1       2.1       2.0         1.50x         1.53x
query89        3.1       2.0       1.7         1.55x         1.80x
query43        3.0       1.3       1.3         2.36x         2.26x
query35        2.9       2.2       1.9         1.33x         1.50x
query46        2.8       2.0       1.9         1.43x         1.46x
query44        2.8       2.5       2.5         1.11x         1.11x
query86        2.7       1.5       2.2         1.87x         1.25x
query17        2.7       2.2       2.3         1.25x         1.19x
query63        2.4       1.6       1.6         1.49x         1.48x
query97        2.4       2.1       1.8         1.15x         1.27x
query29        2.3       2.4       4.2         0.97x         0.55x
query25        2.2       1.9       2.0         1.14x         1.06x
query53        2.0       1.5       1.5         1.32x         1.32x
query81        1.9       2.0       1.9         0.96x         1.04x
query99        1.7       1.8       2.1         0.91x         0.78x
query77        1.6       1.5       1.4         1.08x         1.15x
query10        1.6       1.6       1.4         1.03x         1.15x
query22        1.6       1.5       1.9         1.04x         0.81x
query79        1.5       1.6       1.6         0.95x         0.93x
query40        1.5       1.5       1.4         0.97x         1.01x
query58        1.4       0.9       1.0         1.53x         1.46x
query69        1.4       1.4       1.2         1.02x         1.15x
query18        1.4       1.7       2.6         0.85x         0.53x
query54        1.4       1.5       1.3         0.88x         1.01x
query71        1.3       2.0       1.7         0.67x         0.78x
query8         1.3       2.4       2.3         0.53x         0.55x
query33        1.3       1.2       1.4         1.02x         0.93x
query45        1.2       1.2       1.3         1.03x         0.95x
query60        1.2       1.3       1.3         0.91x         0.89x
query56        1.2       1.6       1.1         0.75x         1.02x
query73        1.2       1.4       1.2         0.83x         0.95x
query98        1.1       1.3       1.3         0.86x         0.90x
query19        1.1       0.9       1.1         1.25x         1.00x
query57        1.1       1.2       1.4         0.94x         0.79x
query61        1.1       1.7       2.2         0.66x         0.50x
query92        1.1       1.1       1.1         0.94x         0.95x
query83        1.1       2.2       2.3         0.49x         0.47x
query6         1.1       1.0       1.2         1.06x         0.89x
query3         0.9       0.9       0.9         1.00x         1.02x
query91        0.9       0.8       0.9         1.13x         1.03x
query32        0.8       0.6       0.7         1.33x         1.20x
query12        0.7       1.1       1.4         0.66x         0.51x
query37        0.7       0.7       0.7         1.02x         1.02x
query26        0.6       0.9       0.8         0.68x         0.79x
query20        0.6       1.6       0.4         0.36x         1.40x
query21        0.5       0.5       0.4         1.11x         1.26x
query15        0.5       0.5       0.5         0.95x         0.94x
query55        0.5       0.8       0.7         0.61x         0.73x
query52        0.5       0.7       0.7         0.68x         0.67x
query42        0.5       1.5       1.5         0.31x         0.31x
query68        0.3       0.2       0.3         1.82x         0.97x
query41        0.3       0.5       0.4         0.65x         0.81x
query1         0.3       0.2       0.2         1.22x         1.13x
query34        0.2       0.2       0.2         1.17x         1.18x

TOTAL        527.7     305.3     310.2         1.73x         1.70x
