NDS SF100 per-table split size (MiB): where it started (baseline) and ended (autotuner)

query    table               baseline (MiB)  1GiB (MiB)  2GiB (MiB)
query28  store_sales                    128        2272        4096
query88  store_sales                    128        4096        4096
query75  store_sales                    128        1510        3020
query75  catalog_sales                  128        4096        4096
query75  web_sales                      128        4096        4096
query75  store_returns                  128        4096        4096
query75  catalog_returns                128        4096        4096
query75  web_returns                    128        4096        4096
query95  web_sales                      128        4096        4096
query95  web_returns                    128        3896        4096
query59  store_sales                    128        3378        4096
query2   catalog_sales                  128        4096        4096
query2   web_sales                      128        4096        4096
query76  store_sales                    128        2664        4096
query76  catalog_sales                  128        4096        4096
query76  web_sales                      128        4096        4096
query78  store_sales                    128        1993        3986
query78  catalog_sales                  128        4096        4096
query78  web_sales                      128        2819        4096
query78  store_returns                  128        3271        4096
query78  catalog_returns                128        4096        4096
query78  web_returns                    128        4096        4096
query94  web_sales                      128        4096        4096
query94  web_returns                    128        4096        4096
query9   store_sales                    128        1678        3356
query62  web_sales                      128        4096        4096
query64  store_sales                    128        4096        4096
query64  catalog_sales                  128        4096        4096
query64  store_returns                  128        4096        4096
query64  catalog_returns                128        4096        4096
query4   store_sales                    128        2237        4096
query4   catalog_sales                  128        1890        3780
query4   web_sales                      128        4096        4096
query93  store_sales                    128        4096        4096
query93  store_returns                  128        4096        4096
query80  store_sales                    128        1953        3906
query80  catalog_sales                   22        3163        4096
query80  web_sales                      128        3387        4096
query80  store_returns                  128        3154        4096
query80  catalog_returns                128        4096        4096
query80  web_returns                    128        4096        4096
query67  store_sales                    128        4096        4096
query90  web_sales                      128        2535        4096
query66  catalog_sales                  128        4096        4096
query66  web_sales                      128        2534        4096
query85  web_sales                      128        4096        4096
query85  web_returns                    128        4096        4096
query49  store_sales                    128        4096        4096
query49  catalog_sales                   28        4096        4096
query49  web_sales                      128        4096        4096
query49  store_returns                  128        3158        4096
query49  catalog_returns                128        4096        4096
query49  web_returns                    128        4096        4096
query11  store_sales                    128        4096        4096
query11  web_sales                      128        4096        4096
query50  store_sales                    128        4096        4096
query50  store_returns                  128        3096        4096
query96  store_sales                    128        3398        4096
query5   store_sales                     84        2664        4096
query5   catalog_sales                   10        4096        4096
query5   web_sales                      128        4096        4096
query5   store_returns                   75        4096        4096
query5   catalog_returns                  7        4096        4096
query5   web_returns                     75        4096        4096
query74  store_sales                    128        1699        3399
query74  web_sales                      128        4096        4096
query72  catalog_sales                  128        3804        4096
query72  catalog_returns                128        4096        4096
query72  inventory                      128         333         667
query51  store_sales                    128        4096        4096
query51  web_sales                      128        4096        4096
query65  store_sales                    128        3425        4096
query38  store_sales                    128        3398        3503
query38  catalog_sales                  128        2694        4096
query38  web_sales                      128        4096        4096
query84  store_returns                  128        4096        4096
query30  web_returns                    128        4096        4096
query82  store_sales                    128        4096        4096
query82  inventory                        5         333         667
query70  store_sales                    128        4096        4096
query13  store_sales                    128        1509        3018
query47  store_sales                    128        1748        3497
query87  store_sales                    128        4096        3399
query87  catalog_sales                  128        4096        4096
query87  web_sales                      128        4096        4096
query7   store_sales                    128        4096        4096
query27  store_sales                    128        4096        4096
query31  store_sales                    128        3364        4096
query31  web_sales                      128        2777        4096
query48  store_sales                    128        3332        4096
query36  store_sales                    128        1043        2086
query16  catalog_sales                  128        4096        4096
query16  catalog_returns                128        4096        4096
query89  store_sales                    128        4096        4096
query43  store_sales                    128        1515        3030
query35  store_sales                    128        4096        4096
query35  catalog_sales                  128        3817        4096
query35  web_sales                      128        4096        4096
query46  store_sales                    128        3484        4096
query44  store_sales                    128        1953        3906
query86  web_sales                      128        2535        4096
query17  store_sales                    128        4096        4096
query17  catalog_sales                  128        2366        4096
query17  store_returns                  128        4096        4096
query63  store_sales                    128        4096        4096
query97  store_sales                    128        2687        4096
query97  catalog_sales                  128        4096        4096
query29  store_sales                    128        3398        3849
query29  catalog_sales                  128        2694        4096
query29  store_returns                  128        3154        4096
query25  store_sales                    128        2671        4096
query25  catalog_sales                  121        4096        4096
query25  store_returns                  128        3769        4096
query53  store_sales                    128        3484        4096
query81  catalog_returns                128        4096        4096
query99  catalog_sales                  128        1890        3780
query77  store_sales                    128        4096        4096
query77  catalog_sales                   22        4096        4096
query77  web_sales                      128        4096        4096
query77  store_returns                  128        4093        4096
query77  catalog_returns                 27        4096        4096
query77  web_returns                    128        4096        4096
query10  store_sales                    128        1508        3017
query10  catalog_sales                   55        4096        4096
query10  web_sales                      128        4096        4096
