query,table,split_MiB
query1,customer,6144
query1,store,3566
query1,date_dim,2139
query2,web_sales,5413
query2,catalog_sales,4769
query2,date_dim,1286
query3,item,6144
query3,store_sales,3393
query3,date_dim,3176
query4,web_sales,6144
query4,store_sales,2237
query4,date_dim,2139
query4,catalog_sales,1890
query4,customer,1373
query5,store,6144
query5,web_returns,6144
query5,web_site,6144
query5,catalog_returns,5586
query5,store_returns,5029
query5,catalog_sales,3777
query5,web_sales,3370
query5,date_dim,3176
query5,store_sales,2664
query5,catalog_page,2495
query6,customer,6144
query6,store_sales,3399
query6,item,2123
query6,date_dim,1286
query6,customer_address,1135
query7,item,6144
query7,store_sales,4451
query7,promotion,2944
query7,date_dim,1286
query7,customer_demographics,183
query8,customer,6144
query8,store_sales,2271
query8,customer_address,2135
query8,date_dim,1286
query8,store,1078
query9,store_sales,1678
query9,reason,1673
query10,catalog_sales,6144
query10,web_sales,5404
query10,date_dim,3176
query10,customer_address,2135
query10,customer,1986
query10,store_sales,1508
query10,customer_demographics,454
query11,web_sales,6144
query11,store_sales,4541
query11,customer,4501
query11,date_dim,1286
query12,web_sales,5072
query12,item,1968
query12,date_dim,1286
query13,store,4514
query13,date_dim,2139
query13,customer_address,2135
query13,store_sales,1509
query13,customer_demographics,1019
query13,household_demographics,217
query14,store_sales,6144
query14,catalog_sales,6144
query14,web_sales,6144
query14,item,3448
query14,date_dim,2139
query15,catalog_sales,3803
query15,customer,2328
query15,date_dim,1286
query15,customer_address,998
query16,call_center,6144
query16,catalog_sales,4761
query16,catalog_returns,4416
query16,date_dim,2139
query16,customer_address,1285
query17,store_returns,6144
query17,store,4752
query17,store_sales,4542
query17,catalog_sales,2366
query17,item,1352
query17,date_dim,1286
query18,customer_address,2637
query18,customer,2328
query18,catalog_sales,2101
query18,item,1806
query18,date_dim,1286
query18,customer_demographics,454
query19,item,6144
query19,customer,6144
query19,store,4752
query19,date_dim,3176
query19,customer_address,2637
query19,store_sales,1687
query20,catalog_sales,6144
query20,item,1968
query20,date_dim,1286
query21,warehouse,6144
query21,item,3774
query21,date_dim,1286
query21,inventory,266
query22,date_dim,1600
query22,item,763
query22,inventory,333
query23,catalog_sales,6144
query23,customer,6144
query23,web_sales,6144
query23,store_sales,6144
query23,item,6001
query23,date_dim,3176
query24,store,6144
query24,store_returns,6144
query24,store_sales,6144
query24,item,4052
query24,customer,1946
query24,customer_address,808
query25,catalog_sales,6144
query25,store,6144
query25,store_returns,3769
query25,store_sales,2671
query25,item,1532
query25,date_dim,1286
query26,promotion,6144
query26,catalog_sales,6144
query26,item,4052
query26,date_dim,1114
query26,customer_demographics,1019
query27,store_sales,4542
query27,item,3463
query27,store,3161
query27,date_dim,1114
query27,customer_demographics,183
query28,store_sales,2272
query29,store,4949
query29,store_returns,3154
query29,catalog_sales,2694
query29,item,2419
query29,date_dim,2139
query29,store_sales,1924
query30,customer,6144
query30,web_returns,6144
query30,date_dim,2139
query30,customer_address,808
query31,store_sales,3364
query31,web_sales,2777
query31,customer_address,2135
query31,date_dim,1286
query32,item,6144
query32,date_dim,3176
query32,catalog_sales,2689
query33,catalog_sales,6144
query33,web_sales,6144
query33,item,3774
query33,store_sales,2713
query33,date_dim,2139
query33,customer_address,479
query34,store,6144
query34,customer,6144
query34,date_dim,1286
query34,household_demographics,217
query35,web_sales,6144
query35,store_sales,4542
query35,catalog_sales,3817
query35,customer_address,2135
query35,date_dim,1600
query35,customer,1005
query35,customer_demographics,183
query36,item,5540
query36,store,5418
query36,date_dim,2139
query36,store_sales,1043
query37,catalog_sales,4725
query37,item,4052
query37,date_dim,1114
query37,inventory,266
query38,web_sales,5072
query38,catalog_sales,2694
query38,store_sales,1924
query38,date_dim,1286
query38,customer,577
query39,item,6144
query39,warehouse,6144
query39,date_dim,2139
query39,inventory,266
query40,catalog_returns,5655
query40,item,4052
query40,warehouse,3245
query40,date_dim,2139
query40,catalog_sales,2101
query41,item,3233
query42,date_dim,6144
query42,store_sales,4455
query42,item,2419
query43,store,3566
query43,date_dim,3176
query43,store_sales,1515
query44,item,2107
query44,store_sales,1953
query45,web_sales,6144
query45,item,4052
query45,customer,3376
query45,date_dim,3176
query45,customer_address,2637
query46,store,6144
query46,store_sales,3484
query46,customer_address,2637
query46,customer,2250
query46,date_dim,1286
query46,household_demographics,536
query47,store,6144
query47,date_dim,1838
query47,store_sales,1748
query47,item,763
query48,store,6144
query48,store_sales,3332
query48,customer_address,1661
query48,date_dim,1286
query48,customer_demographics,108
query49,web_sales,6144
query49,web_returns,6144
query49,catalog_sales,6144
query49,store_sales,6144
query49,catalog_returns,5561
query49,store_returns,3158
query49,date_dim,1286
query50,store,4949
query50,store_sales,4455
query50,store_returns,3096
query50,date_dim,1286
query51,web_sales,6144
query51,store_sales,4465
query51,date_dim,1286
query52,item,5380
query52,store_sales,4658
query52,date_dim,2139
query53,store,4721
query53,store_sales,3484
query53,date_dim,2139
query53,item,904
query54,store,5141
query54,web_sales,4948
query54,catalog_sales,4728
query54,item,2419
query54,store_sales,2270
query54,date_dim,1286
query54,customer_address,1285
query54,customer,1065
query55,store_sales,4542
query55,item,3774
query55,date_dim,2139
query56,catalog_sales,6144
query56,web_sales,6144
query56,store_sales,4455
query56,item,2419
query56,date_dim,1286
query56,customer_address,781
query57,call_center,6144
query57,catalog_sales,4769
query57,item,3448
query57,date_dim,2139
query58,web_sales,5362
query58,item,4052
query58,catalog_sales,2366
query58,store_sales,1509
query58,date_dim,1286
query59,store,6144
query59,store_sales,3378
query59,date_dim,1286
query60,store_sales,6144
query60,catalog_sales,6144
query60,web_sales,6144
query60,customer_address,2135
query60,item,1806
query60,date_dim,1286
query61,promotion,6144
query61,item,4052
query61,store,3242
query61,date_dim,3176
query61,store_sales,2260
query61,customer,1986
query61,customer_address,1285
query62,warehouse,6144
query62,ship_mode,6144
query62,web_site,6144
query62,web_sales,5404
query62,date_dim,1286
query63,store,6144
query63,item,6144
query63,store_sales,6144
query63,date_dim,1286
query64,store_returns,6144
query64,catalog_sales,6144
query64,store,6144
query64,customer,6144
query64,promotion,6144
query64,catalog_returns,5572
query64,store_sales,4658
query64,item,4052
query64,date_dim,3176
query64,income_band,2345
query64,customer_address,1135
query64,household_demographics,281
query64,customer_demographics,149
query65,store,6144
query65,store_sales,3425
query65,item,2858
