READER-SCOPED batch (T knob): sets reader emitted batch + read cap + split target; joins/aggs stay 1 GiB. Ceiling 4 GiB. NDS SF100 A5000.

query      OFF s  T1g s  T2g s  T4g s  T1g x  T2g x  T4g x    maxsplit T1g/T2g/T4g
query28     43.3   15.1   15.0   14.7  2.87x  2.87x  2.95x          4096/4096/4096
query88     41.0   16.3   17.7   16.6  2.51x  2.32x  2.46x          4096/4096/4096
query95     21.7    8.6    8.5    8.8  2.51x  2.57x  2.48x          4096/4096/4096
query59     21.3    7.0    7.4    7.1  3.04x  2.88x  3.00x          3378/4096/4096
query75     21.0   10.4    9.8    9.9  2.03x  2.15x  2.13x          4096/4096/4096
query2      19.7    7.7    7.8    7.8  2.56x  2.52x  2.53x          4096/4096/4096
query78     17.4    8.9    8.9    9.1  1.95x  1.96x  1.91x          4096/4096/4096
query76     17.3    6.1    6.3    6.6  2.85x  2.75x  2.63x          4096/4096/4096
query9      15.8    3.3    4.1    4.4  4.78x  3.89x  3.56x          1678/4096/4096
query94     14.8    7.5    7.2    7.6  1.97x  2.05x  1.93x          4096/4096/4096
query62     13.9    4.2    4.7    4.6  3.29x  2.95x  3.01x          4096/4096/4096
query4      13.3    8.8    9.8    7.8  1.52x  1.35x  1.70x          4096/4096/4096
query64     13.1    8.2    8.2    8.2  1.59x  1.61x  1.61x          4096/4096/4096
query93     12.8    7.8    8.3    7.3  1.64x  1.55x  1.74x          4096/4096/4096
query80     12.1    6.9    6.9    7.2  1.76x  1.75x  1.69x          4096/4096/4096
query67     10.8    8.0    6.8    6.8  1.34x  1.58x  1.59x          4096/4096/4096
query85     10.3    4.5    4.6    4.6  2.26x  2.24x  2.23x          4096/4096/4096
query49      9.7    6.1    6.1    6.3  1.59x  1.59x  1.54x          4096/4096/4096
query90      9.6    4.6    4.5    4.7  2.11x  2.13x  2.03x          2535/4096/4096
query66      8.7    2.6    2.7    2.5  3.39x  3.25x  3.52x          4096/4096/4096
query11      8.6    5.3    5.8    5.2  1.63x  1.47x  1.66x          4096/4096/4096
query50      8.0    6.5    6.8    6.7  1.23x  1.17x  1.20x          4096/4096/4096
query74      7.6    4.8    5.4    4.9  1.58x  1.40x  1.55x          4096/4096/4096
query96      7.2    4.6    4.9    5.0  1.56x  1.47x  1.44x          3398/4096/4096
query5       6.9    3.4    4.2    3.6  2.01x  1.63x  1.91x          4096/4096/4096
query72      5.7    5.4    5.5    6.8  1.07x  1.04x  0.84x          4096/4096/4096
query51      4.7    3.6    3.8    3.6  1.31x  1.25x  1.32x          4096/4096/4096
query70      4.7    3.1    3.9    2.9  1.54x  1.20x  1.62x          4096/4096/4096
query30      4.7    3.3    3.2    3.4  1.43x  1.46x  1.37x          4096/4096/4096
query84      4.6    2.9    3.2    3.0  1.57x  1.47x  1.54x          4096/4096/4096
query65      4.3    3.5    4.0    3.7  1.23x  1.09x  1.15x          3425/4096/4096
query87      4.2    2.9    3.0    3.0  1.47x  1.38x  1.38x          4096/4096/4096
query13      4.1    2.3    2.3    2.4  1.81x  1.84x  1.71x          1509/3018/4096
query38      3.9    3.3    3.2    3.4  1.19x  1.23x  1.15x          4096/4096/4096
query47      3.8    2.4    2.5    2.3  1.57x  1.53x  1.61x          1748/3497/4096
query7       3.7    2.5    2.8    2.6  1.50x  1.34x  1.41x          4096/4096/4096
query31      3.6    2.6    2.3    2.5  1.38x  1.54x  1.45x          3364/4096/4096
query82      3.6    2.5    2.5    3.8  1.46x  1.41x  0.95x          4096/4096/4096
query27      3.6    1.9    1.7    1.8  1.86x  2.05x  1.97x          4096/4096/4096
query48      3.4    1.6    2.0    1.9  2.08x  1.67x  1.81x          3400/4096/4096
query16      3.1    2.2    2.2    4.6  1.42x  1.45x  0.68x          4096/4096/4096
query35      3.0    2.0    2.1    1.9  1.46x  1.39x  1.59x          4096/4096/4096
query86      2.8    1.6    2.0    1.9  1.81x  1.40x  1.46x          2535/4096/4096
query89      2.7    1.6    1.7    1.7  1.71x  1.58x  1.58x          4096/4096/4096
query43      2.7    1.4    1.3    1.5  1.98x  2.11x  1.87x          1515/3030/4096
query46      2.7    1.8    1.9    2.4  1.47x  1.43x  1.15x          3484/4096/4096
query36      2.7    1.4    1.4    1.7  1.91x  1.96x  1.63x          1043/2086/4096
query44      2.6    2.3    2.6    2.4  1.13x  0.99x  1.06x          1953/3906/4096
query63      2.4    1.8    1.9    2.1  1.32x  1.25x  1.16x          4096/4096/4096
query17      2.4    2.2    2.7    2.4  1.07x  0.89x  1.01x          4096/4096/4096
query97      2.2    1.8    1.8    1.9  1.26x  1.23x  1.19x          4096/4096/4096
query29      2.2    2.7    3.2    3.4  0.80x  0.68x  0.65x          3154/4096/4096
query53      2.1    1.7    1.8    2.5  1.22x  1.15x  0.82x          3484/4096/4096
query25      2.1    2.1    2.1    2.1  1.01x  0.98x  0.99x          4096/4096/4096
query81      1.9    2.0    2.1    2.0  0.97x  0.95x  0.97x          4096/4096/4096
query99      1.8    1.6    1.3    1.6  1.19x  1.38x  1.17x          1890/3780/4096
query10      1.7    1.5    1.4    1.5  1.12x  1.22x  1.09x          4096/4096/4096
query79      1.6    1.6    1.7    1.9  1.01x  0.92x  0.85x          3400/4096/4096
query40      1.6    1.6    1.5    1.5  0.97x  1.04x  1.07x          4096/4096/4096
query77      1.5    1.6    1.6    1.6  0.95x  0.96x  1.00x          4096/4096/4096
query69      1.5    1.3    1.3    1.4  1.20x  1.20x  1.09x          4096/4096/4096
query22      1.5    1.3    1.8    1.8  1.12x  0.81x  0.82x            333/667/1334
query18      1.4    1.8    2.1    3.2  0.77x  0.66x  0.45x          2101/4096/4096
query58      1.4    1.1    1.0    1.0  1.29x  1.42x  1.33x          4096/4096/4096
query60      1.3    1.3    1.5    1.6  0.99x  0.88x  0.81x          4096/4096/4096
query8       1.3    1.6    1.9    2.6  0.83x  0.68x  0.49x          4096/4096/4096
query71      1.3    2.8    1.7    1.4  0.46x  0.74x  0.93x          4096/4096/4096
query54      1.3    1.4    1.8    1.3  0.91x  0.73x  1.01x          4096/4096/4096
query45      1.2    1.2    1.2    1.3  0.97x  1.00x  0.92x          4096/4096/4096
query33      1.2    1.3    1.3    1.3  0.92x  0.92x  0.92x          4096/4096/4096
query57      1.2    1.2    1.2    1.2  0.97x  0.96x  0.95x          4096/4096/4096
query98      1.2    1.3    1.3    1.3  0.88x  0.93x  0.92x          4096/4096/4096
query61      1.1    2.0    2.2    1.7  0.57x  0.52x  0.67x          2260/4096/4096
query56      1.1    1.5    1.5    1.2  0.77x  0.75x  0.93x          4096/4096/4096
query92      1.1    1.2    1.2    1.1  0.93x  0.93x  0.97x          4096/4096/4096
query73      1.1    1.4    1.3    1.4  0.79x  0.82x  0.76x          3378/4096/4096
query19      1.0    0.9    1.1    1.1  1.07x  0.90x  0.92x          1687/3375/4096
query91      1.0    0.8    0.8    0.9  1.19x  1.23x  1.05x          4096/4096/4096
query3       0.9    0.8    1.0    0.9  1.08x  0.95x  0.97x          3393/4096/4096
query83      0.9    1.1    2.9    1.0  0.83x  0.32x  0.88x          4096/4096/4096
query6       0.8    1.0    0.9    1.0  0.82x  0.90x  0.81x          3399/4096/4096
query32      0.7    0.6    0.6    0.8  1.15x  1.20x  0.98x          2689/4096/4096
query37      0.7    0.7    0.6    0.7  1.04x  1.19x  0.97x          4096/4096/4096
query26      0.7    1.9    0.9    0.9  0.38x  0.83x  0.82x          4096/4096/4096
query12      0.7    1.0    1.8    1.1  0.69x  0.38x  0.62x          4096/4096/4096
query21      0.6    0.5    0.4    0.5  1.25x  1.45x  1.25x            266/532/1064
query20      0.6    0.5    0.5    0.8  1.16x  1.07x  0.74x          4096/4096/4096
query15      0.6    0.6    0.4    0.5  1.01x  1.44x  1.10x          4096/4096/4096
query52      0.5    0.7    0.6    0.6  0.65x  0.76x  0.77x          4096/4096/4096
query55      0.5    0.9    0.8    0.6  0.54x  0.59x  0.75x          4096/4096/4096
query42      0.4    0.8    1.7    1.4  0.55x  0.26x  0.30x          2271/4096/4096
query1       0.3    0.2    0.2    0.2  1.40x  1.41x  1.37x                   0/0/0
query34      0.3    0.2    0.2    0.2  1.46x  1.44x  1.50x                   0/0/0
query41      0.3    0.3    0.3    0.4  1.02x  0.97x  0.65x                   0/0/0
query68      0.3    0.4    0.4    0.2  0.68x  0.71x  1.34x                   0/0/0

TOTAL      526.2  295.0  307.0  306.5  1.78x  1.71x  1.72x
